,dr,dr_name,dr_date,dr_place,dr_knownfor,dr_awards_wins,dr_awards_nomi tions,dr_link,dr_awards_link
28,Mark Waters,Mark Waters,6/30/1964,"Wyandotte, Michigan, USA","['(500) Days of Summer', 'Vampire Academy', 'Ghosts of Girlfriends Past', 'The Spiderwick Chronicles']",1,6,https://www.imdb.com/name/nm0914134/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0914134/awards?ref_=nm_ql_2
29,Bryan Bertino ,Bryan Bertino,10/17/1977,"Crowley, Texas, USA","['The Strangers', 'The Monster', 'The Strangers: Prey at Night', ""The Blackcoat's Daughter""]",0,3,https://www.imdb.com/name/nm1052162/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1052162/awards?ref_=nm_ql_2
30,Rob Cohen,Rob Cohen,3/12/1949,"Cornwall, New York, USA","['DragonHeart', 'Stealth', 'The Mummy: Tomb of the Dragon Emperor', 'The Running Man']",1,3,https://www.imdb.com/name/nm0003418/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0003418/awards?ref_=nm_ql_2
31,Roland Emmerich ,Roland Emmerich,11/10/1955,"Stuttgart, Baden-W??rttemberg, Germany","['Independence Day', 'Godzilla', 'The Day After Tomorrow', 'Independence Day: Resurgence']",16,16,https://www.imdb.com/name/nm0000386/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000386/awards?ref_=nm_ql_2
32,Woody Allen ,Woody Allen,12/1/1935,"Brooklyn, New York City, New York, USA","['Manhattan', 'Annie Hall', 'Crimes and Misdemeanors', 'Hannah and Her Sisters']",139,211,https://www.imdb.com/name/nm0000095/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000095/awards?ref_=nm_ql_2
33,Kevin Smith,Kevin Smith,8/2/1970,"Red Bank, New Jersey, USA","['Clerks', 'Chasing Amy', 'Clerks II', 'Dogma']",13,24,https://www.imdb.com/name/nm0003620/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0003620/awards?ref_=nm_ql_2
34,Gabriele Muccino ,Gabriele Muccino,5/20/1967,"Rome, Lazio, Italy","['Seven Pounds', 'The Pursuit of Happyness', ""L'ultimo bacio"", 'Fathers & Daughters']",16,27,https://www.imdb.com/name/nm0610831/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0610831/awards?ref_=nm_ql_2
35,Guy Ritchie ,Guy Ritchie,9/10/1968,"Hatfield, Hertfordshire, England, UK","['Sherlock Holmes', 'Lock, Stock and Two Smoking Barrels', 'Snatch', 'The Man from U.N.C.L.E.']",8,10,https://www.imdb.com/name/nm0005363/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0005363/awards?ref_=nm_ql_2
36,Steven Spielberg ,Steven Spielberg,12/18/1946,"Cincinnati, Ohio, USA","[""Schindler's List"", 'E.T. the Extra-Terrestrial', 'Saving Private Ryan', 'Raiders of the Lost Ark']",192,199,https://www.imdb.com/name/nm0000229/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000229/awards?ref_=nm_ql_2
37,Sylvester Stallone ,Sylvester Stallone,7/6/1946,"New York City, New York, USA","['Rocky', 'Rocky IV', 'Creed', 'Rocky III']",57,66,https://www.imdb.com/name/nm0000230/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000230/awards?ref_=nm_ql_2
38,Darren Aronofsky ,Darren Aronofsky,2/12/1969,"Brooklyn, New York City, New York, USA","['Pi', 'Requiem for a Dream', 'Mother!', 'The Wrestler']",39,84,https://www.imdb.com/name/nm0004716/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0004716/awards?ref_=nm_ql_2
39,Mark Osborne,Mark Osborne,9/17/1970,"Trenton, New Jersey, USA","['Kung Fu Panda', 'Le Petit Prince', 'More', 'Dropping Out']",15,9,https://www.imdb.com/name/nm0651706/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0651706/awards?ref_=nm_ql_2
40,M. Night Shyamalan ,M. Night Shyamalan,8/6/1970,"Mah??, Pondicherry, India","['Lady in the Water', 'Signs', 'The Village', 'The Sixth Sense']",14,40,https://www.imdb.com/name/nm0796117/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0796117/awards?ref_=nm_ql_2
41,Oliver Stone,Oliver Stone,9/15/1946,"New York City, New York, USA","['JFK', 'Platoon', 'Alexander', 'Natural Born Killers']",61,55,https://www.imdb.com/name/nm0000231/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000231/awards?ref_=nm_ql_2
42,Bryan Singer ,Bryan Singer,9/17/1965,"New York City, New York, USA","['X-Men', 'The Usual Suspects', 'X-Men: Days of Future Past', 'Superman Returns']",18,24,https://www.imdb.com/name/nm0001741/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001741/awards?ref_=nm_ql_2
43,Fred Wolf ,Fred Wolf,11/7/1964,"New York City, New York, USA","['Little Nicky', 'Grown Ups 2', 'Black Sheep', 'The House Bunny']",0,2,https://www.imdb.com/name/nm0937748/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0937748/awards?ref_=nm_ql_2
44,John Patrick Shanley ,John Patrick Shanley,10/3/1950,"The Bronx, New York City, New York, USA","['Moonstruck', 'Doubt', 'Congo', 'Joe Versus the Volcano']",5,22,https://www.imdb.com/name/nm0788234/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0788234/awards?ref_=nm_ql_2
45,Doug Liman ,Doug Liman,7/24/1965,"New York City, New York, USA","['Edge of Tomorrow', 'Swingers', 'Fair Game', 'The Bourne Identity']",2,7,https://www.imdb.com/name/nm0510731/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0510731/awards?ref_=nm_ql_2
46,Peter Segal ,Peter Segal,1962-0-0,NA,"['Naked Gun 33 1/3: The Final Insult', 'Get Smart', 'Grudge Match', '50 First Dates']",1,4,https://www.imdb.com/name/nm0781842/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0781842/awards?ref_=nm_ql_2
47,Nicolas Winding Refn ,Nicolas Winding Refn,9/29/1970,"Copenhagen, Denmark","['The Neon Demon', 'Valhalla Rising', 'Only God Forgives', 'Drive']",28,51,https://www.imdb.com/name/nm0716347/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0716347/awards?ref_=nm_ql_2
48,Charlie Kaufman ,Charlie Kaufman,11/19/1958,"New York City, New York, USA","['Anomalisa', 'Eternal Sunshine of the Spotless Mind', 'Synecdoche, New York', 'Being John Malkovich']",84,73,https://www.imdb.com/name/nm0442109/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0442109/awards?ref_=nm_ql_2
49,Andrew Adamson ,Andrew Adamson,12/1/1966,"Auckland, New Zealand","['Shrek 2', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', 'Shrek', 'The Chronicles of Narnia: Prince Caspian']",7,22,https://www.imdb.com/name/nm0011470/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0011470/awards?ref_=nm_ql_2
50,Robert Luketic ,Robert Luketic,11/1/1973,"Sydney, New South Wales, Australia","['The Ugly Truth', 'Killers', 'Legally Blonde', '21']",4,0,https://www.imdb.com/name/nm0525659/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0525659/awards?ref_=nm_ql_2
51,Ethan Coen ,Ethan Coen,9/21/1957,"Minneapolis, Minnesota, USA","['The Ballad of Buster Scruggs', 'A Serious Man', 'Inside Llewyn Davis', 'Fargo']",113,274,https://www.imdb.com/name/nm0001053/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001053/awards?ref_=nm_ql_2
52,Tom Putnam,Tom Putnam,3/25/1972,"Oregon, USA","['Burn', 'Marwencol', 'Broadcast 23', 'Tom Hits His Head']",12,3,https://www.imdb.com/name/nm0701245/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0701245/awards?ref_=nm_ql_2
53,Jeff Wadlow ,Jeff Wadlow,3/2/1976,USA,"['Truth or Dare', 'True Memoirs of an International Assassin', 'Kick-Ass 2', 'Bates Motel']",8,1,https://www.imdb.com/name/nm0905592/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0905592/awards?ref_=nm_ql_2
54,Roger Donaldson ,Roger Donaldson,11/15/1945,"Ballarat, Australia","[""The World's Fastest Indian"", 'Species', 'Cocktail', 'No Way Out']",4,7,https://www.imdb.com/name/nm0002044/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0002044/awards?ref_=nm_ql_2
55,Peter Berg,Peter Berg,3/11/1964,"New York City, New York, USA","['Very Bad Things', 'Lone Survivor', 'Chicago Hope', 'Collateral']",3,19,https://www.imdb.com/name/nm0000916/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000916/awards?ref_=nm_ql_2
56,Peyton Reed,Peyton Reed,7/3/1964,"Raleigh, North Carolina, USA","['Ant-Man', 'Ant-Man and the Wasp', 'Bring It On', 'The Break-Up']",2,4,https://www.imdb.com/name/nm0715636/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0715636/awards?ref_=nm_ql_2
57,Byron Howard ,Byron Howard,12/26/1968,"Misawa, Japan","['Zootopia', 'Tangled', 'Bolt', 'Brother Bear']",11,12,https://www.imdb.com/name/nm0397174/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0397174/awards?ref_=nm_ql_2
58,Matt Reeves,Matt Reeves,4/27/1966,"Rockville Center, New York, USA","['Let Me In', 'War for the Planet of the Apes', 'Dawn of the Planet of the Apes', 'Cloverfield']",2,8,https://www.imdb.com/name/nm0716257/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0716257/awards?ref_=nm_ql_2
59,Anne Fletcher ,Anne Fletcher,5/1/1966,"Detroit, Michigan, USA","['The Proposal', 'Step Up', 'Hairspray', 'The Pacifier']", , ,https://www.imdb.com/name/nm0281945/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0281945/awards?ref_=nm_ql_2
60,Dennis Dugan ,Dennis Dugan,9/5/1946,"Wheaton, Illinois, USA","['Happy Gilmore', ""You Don't Mess with the Zohan"", 'Big Daddy', 'Richie Brockelman, Private Eye']",1,4,https://www.imdb.com/name/nm0240797/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0240797/awards?ref_=nm_ql_2
61,Tomas Alfredson ,Tomas Alfredson,4/1/1965,"Liding??, Stockholms l??n, Sweden","['Let the Right One In', 'Tinker Tailor Soldier Spy', 'Fyra nyanser av brunt', 'The Snowman']",39,29,https://www.imdb.com/name/nm0019247/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0019247/awards?ref_=nm_ql_2
62,Scott Derrickson ,Scott Derrickson,7/16/1966,"Denver, Colorado, USA","['Doctor Strange', 'Sinister', 'The Day the Earth Stood Still', 'The Exorcism of Emily Rose']",1,5,https://www.imdb.com/name/nm0220600/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0220600/awards?ref_=nm_ql_2
63,Jason Friedberg ,Jason Friedberg,1/16/1970,"Newark, New Jersey, USA","['Epic Movie', 'Meet the Spartans', 'Disaster Movie', 'Vampires Suck']",1,5,https://www.imdb.com/name/nm0294997/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0294997/awards?ref_=nm_ql_2
64,Christian Molina ,Christian Molina,NA,NA,"['De mayor quiero ser soldado', ""Estaci?? de l'oblit"", 'Rojo sangre', '11-11-11']",1,3,https://www.imdb.com/name/nm0596668/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0596668/awards?ref_=nm_ql_2
65,Michael Patrick King ,Michael Patrick King,9/14/1954,"Scranton, Pennsylvania, USA","['Sex and the City 2', 'Sex and the City', 'Sex and the City', 'The Comeback']",7,22,https://www.imdb.com/name/nm0455078/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0455078/awards?ref_=nm_ql_2
66,Wilson Yip,Wilson Yip,NA,NA,"['Yip Man', 'SPL: Sha po lang', 'Ip Man 2', 'Yip Man 3']",7,13,https://www.imdb.com/name/nm0948159/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0948159/awards?ref_=nm_ql_2
67,James Watkins,James Watkins,1978-0-0,NA,"['Eden Lake', 'The Woman in Black', 'Bastille Day', 'McMafia']",2,4,https://www.imdb.com/name/nm1220140/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1220140/awards?ref_=nm_ql_2
68,Saul Dibb ,Saul Dibb,1968-0-0,NA,"['The Duchess', 'Bullet Boy', 'Suite Fran??aise', ""Journey's End""]",3,9,https://www.imdb.com/name/nm1314116/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1314116/awards?ref_=nm_ql_2
69,Frank Miller ,Frank Miller,1/27/1957,"Olney, Maryland, USA","['Sin City', 'Sin City: A Dame to Kill For', 'The Spirit', 'RoboCop 3']",2,4,https://www.imdb.com/name/nm0588340/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0588340/awards?ref_=nm_ql_2
70,Paul W.S. Anderson ,Paul W.S. Anderson,3/4/1965,"Newcastle-upon-Tyne, England, UK","['Resident Evil: Apocalypse', 'Event Horizon', 'Mortal Kombat', 'Death Race']",2,2,https://www.imdb.com/name/nm0027271/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0027271/awards?ref_=nm_ql_2
71,Adam Brooks,Adam Brooks,9/3/1956,"Toronto, Ontario, Canada","['Definitely, Maybe', 'Whatever Works', 'Bridget Jones: The Edge of Reason', 'Almost You']",1,4,https://www.imdb.com/name/nm0111845/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0111845/awards?ref_=nm_ql_2
72,Carter Smith ,Carter Smith,9/6/1971,NA,"['Bugcrush', 'The Ruins', 'Jamie Marks Is Dead', 'Yearbook']",3,4,https://www.imdb.com/name/nm2127650/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2127650/awards?ref_=nm_ql_2
73,Lexi Alexander,Lexi Alexander,8/23/1974,"Mannheim, Baden-W??rttemberg, Germany","['Green Street Hooligans', 'Punisher: War Zone', 'Johnny Flynton', 'Arrow']",4,1,https://www.imdb.com/name/nm0591994/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0591994/awards?ref_=nm_ql_2
74,Eric Darnell ,Eric Darnell,NA,NA,"['Madagascar', 'Madagascar: Escape 2 Africa', 'Antz', ""Madagascar 3: Europe's Most Wanted""]",1,3,https://www.imdb.com/name/nm0201509/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0201509/awards?ref_=nm_ql_2
75,Neil Marshall,Neil Marshall,5/25/1970,"Newcastle upon Tyne, England, UK","['Dog Soldiers', 'The Descent', 'Doomsday', 'Centurion']",9,14,https://www.imdb.com/name/nm0551076/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0551076/awards?ref_=nm_ql_2
76,David Wain ,David Wain,8/1/1969,"Shaker Heights, Ohio, USA","['Wet Hot American Summer', 'Role Models', 'Wet Hot American Summer: First Day of Camp', 'The State']",7,7,https://www.imdb.com/name/nm0906476/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0906476/awards?ref_=nm_ql_2
77,Hayao Miyazaki ,Hayao Miyazaki,1/5/1941,"Tokyo, Japan","['Spirited Away', 'My Neighbor Totoro', ""Howl's Moving Castle"", 'Princess Mononoke']",77,45,https://www.imdb.com/name/nm0594503/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0594503/awards?ref_=nm_ql_2
78,Gus Van Sant ,Gus Van Sant,7/24/1952,"Louisville, Kentucky, USA","['Elephant', 'My Own Private Idaho', 'Drugstore Cowboy', 'Paranoid Park']",42,62,https://www.imdb.com/name/nm0001814/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001814/awards?ref_=nm_ql_2
79,Steve McQueen,Steve McQueen,10/9/1969,"London, England, UK","['12 Years a Slave', 'Shame', 'Hunger', 'Widows']",84,94,https://www.imdb.com/name/nm2588606/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2588606/awards?ref_=nm_ql_2
80,Lana Wachowski ,Lana Wachowski,6/21/1965,"Chicago, Illinois, USA","['The Matrix', 'Bound', 'Cloud Atlas', 'The Matrix Reloaded']",12,24,https://www.imdb.com/name/nm0905154/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0905154/awards?ref_=nm_ql_2
81,Ry??hei Kitamura ,Ry??hei Kitamura,5/30/1969,"Osaka, Japan","['The Midnight Meat Train', 'Azumi', 'Versus', 'Aragami']",6,10,https://www.imdb.com/name/nm0457565/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0457565/awards?ref_=nm_ql_2
82,Edward Zwick ,Edward Zwick,10/8/1952,"Chicago, Illinois, USA","['Thirtysomething', 'The Last Samurai', 'Shakespeare in Love', 'Courage Under Fire']",24,21,https://www.imdb.com/name/nm0001880/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001880/awards?ref_=nm_ql_2
83,John Erick Dowdle ,John Erick Dowdle,12/21/1972,"St. Paul, Minnesota, USA","['No Escape', 'As Above, So Below', 'Quarantine', 'Devil']",1,3,https://www.imdb.com/name/nm0235719/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0235719/awards?ref_=nm_ql_2
84,Eric Brevig ,Eric Brevig,1957-0-0,NA,"['Total Recall', 'Men in Black', 'Pearl Harbor', 'Scrooged']",1,13,https://www.imdb.com/name/nm0108094/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0108094/awards?ref_=nm_ql_2
85,Paul Weiland ,Paul Weiland,7/11/1953,"England, UK","['Leonard Part 6', 'Made of Honor', 'Keep Off the Grass', 'Blackadder Back & Forth']",0,4,https://www.imdb.com/name/nm0917992/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0917992/awards?ref_=nm_ql_2
86,Baz Luhrmann ,Baz Luhrmann,9/17/1962,"New South Wales, Australia","['Moulin Rouge!', 'Australia', 'The Great Gatsby', 'Romeo + Juliet']",33,49,https://www.imdb.com/name/nm0525303/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0525303/awards?ref_=nm_ql_2
87,Olivier Megaton ,Olivier Megaton,8/6/1965,"Versailles, Seine-et-Oise [now Yvelines], France","['Transporter 3', 'Colombiana', 'Exit', 'Taken 2']",2,2,https://www.imdb.com/name/nm0576298/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0576298/awards?ref_=nm_ql_2
88,Peter Sollett ,Peter Sollett,1976-0-0,NA,"['Raising Victor Vargas', 'Freeheld', 'Five Feet High and Rising', ""Nick and Norah's Infinite Playlist""]",9,10,https://www.imdb.com/name/nm0813164/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0813164/awards?ref_=nm_ql_2
89,David Frankel ,David Frankel,4/2/1959,"New York City, New York, USA","['The Devil Wears Prada', 'One Chance', 'Band of Brothers', 'Doctor Doctor']",7,6,https://www.imdb.com/name/nm0291205/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0291205/awards?ref_=nm_ql_2
90,Jon Avnet ,Jon Avnet,11/17/1949,"Brooklyn, New York City, New York, USA","['Fried Green Tomatoes', 'Red Corner', 'Sky Captain and the World of Tomorrow', 'Righteous Kill']",5,10,https://www.imdb.com/name/nm0000816/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000816/awards?ref_=nm_ql_2
91,D.J. Caruso ,D.J. Caruso,1/17/1965,"Norwalk, Connecticut, USA","['I Am Number Four', 'Eagle Eye', 'xXx: Return of Xander Cage', 'The Salton Sea']", , ,https://www.imdb.com/name/nm0142286/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0142286/awards?ref_=nm_ql_2
