Movie_ID,Year,Rank,Title,Description,Duration,Genre,Rating,Metascore,Votes,Gross_Earning_in_Mil,Director,Actor
218,2010,18,Room in Rome,    A hotel room in the center of Rome serves as the setting for two young and recently acquainted women to have a physical adventure that touches their very souls.,107,Drama,6.2, ,20172, ,Julio Medem,Elena Anaya
219,2010,19,The Last Airbender,"    Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",103,Action,4.1,20,136537,131.5,M. Night Shyamalan,Noah Ringer
220,2010,20,Grown Ups,"    After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",102,Comedy,6,30,208356,162,Dennis Dugan,Adam Sandler
221,2010,21,The Other Guys,"    Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.",107,Action,6.7,64,219410,119.2,Adam McKay,Will Ferrell
222,2010,22,Alice in Wonderland,"    Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",108,Adventure,6.5,53,355173,334.1,Tim Burton,Mia Wasikowska
223,2010,23,Love & Other Drugs,    A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.,112,Comedy,6.7,55,166030,32.37,Edward Zwick,Jake Gyllenhaal
224,2010,24,True Grit,    A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,110,Adventure,7.6,80,281207,171.2,Ethan Coen,Jeff Bridges
225,2010,25,Toy Story 3,"    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",103,Animation,8.3,92,671263,415,Lee Unkrich,Tom Hanks
226,2010,26,She's Out of My League,"    An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",104,Comedy,6.4,46,116242,31.58,Jim Field Smith,Jay Baruchel
227,2010,27,Blue Valentine,"    The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",112,Drama,7.4,81,168622,9.74,Derek Cianfrance,Ryan Gosling
228,2010,28,Burlesque,    A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,119,Drama,6.4,47,70273,39.44,Steve Antin,Cher
229,2010,29,Winter's Bone,    An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,100,Drama,7.2,90,126871,6.53,Debra Granik,Jennifer Lawrence
230,2010,30,The King's Speech,"    The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",118,Biography,8,88,588041,138.8,Tom Hooper,Colin Firth
231,2010,31,The A-Team,"    A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.",117,Action,6.8,47,233782,77.22,Joe Carnahan,Liam Neeson
232,2010,32,Despicable Me,"    When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",95,Animation,7.7,72,459362,251.5,Pierre Coffin,Steve Carell
233,2010,33,The Fighter,"    Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",116,Biography,7.8,79,314032,93.62,David O. Russell,Mark Wahlberg
234,2010,34,Insidious,    A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,103,Horror,6.9,52,250520,54.01,James Wan,Patrick Wilson
235,2010,35,Hot Tub Time Machine,"    A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",101,Comedy,6.4,63,152990,50.29,Steve Pink,John Cusack
236,2010,36,Robin Hood,"    In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",140,Action,6.7,53,237811,105.2,Ridley Scott,Russell Crowe
237,2010,37,Incendies,    Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,131,Drama,8.3,80,121627,6.86,Denis Villeneuve,Lubna Azabal
238,2010,38,I Spit on Your Grave,"    A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.",108,Horror,6.3,27,67656,0.09,Steven R. Monroe,Sarah Butler
239,2010,39,It's Kind of a Funny Story,    A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.,101,Comedy,7.1,63,124731,6.35,Anna Boden,Keir Gilchrist
240,2010,40,127 Hours,"    An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",94,Adventure,7.6,82,320516,18.34,Danny Boyle,James Franco
241,2010,41,The Karate Kid,"    Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",140,Action,6.2,61,144556,176.5,Harald Zwart,Jackie Chan
242,2010,42,The Expendables,    A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,103,Action,6.5,45,305471,103,Sylvester Stallone,Sylvester Stallone
243,2010,43,Knight and Day,    A young woman gets mixed up with a disgraced spy who is trying to clear his name.,109,Action,6.3,46,168712,76.42,James Mangold,Tom Cruise
244,2010,44,The Book of Eli,"    A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",118,Action,6.9,53,268439,94.84,Albert Hughes,Denzel Washington
245,2010,45,Valentine's Day,    Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,125,Comedy,5.7,34,106442,110.4,Garry Marshall,Julia Roberts
246,2010,46,Date Night,"    In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.",88,Comedy,6.3,56,143587,98.71,Shawn Levy,Steve Carell
247,2010,47,The Losers,"    A CIA special forces team are betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",97,Action,6.4,44,83058,23.58,Sylvain White,Idris Elba
248,2010,48,Salt,    A CIA agent goes on the run after a defector accuses her of being a Russian spy.,100,Action,6.4,65,275366,118.3,Phillip Noyce,Angelina Jolie
249,2010,49,Piranha 3D,"    After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",88,Comedy,5.4,53,80810,25,Alexandre Aja,Elisabeth Shue
250,2010,50,Faster,    An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,98,Action,6.5,44,92932,23.24,George Tillman Jr.,Dwayne Johnson
251,2010,51,The Twilight Saga: Eclipse,"    As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",124,Adventure,5,58,209616,300.5,David Slade,Kristen Stewart
252,2010,52,Let Me In,    A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,116,Drama,7.1,79,106216,12.13,Matt Reeves,Kodi Smit-McPhee
253,2010,53,Sex and the City 2,"    While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",146,Comedy,4.4,27,68514,95.35,Michael Patrick King,Sarah Jessica Parker
254,2010,54,Prince of Persia: The Sands of Time,    A young fugitive Prince and Princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,116,Action,6.6,50,252362,90.76,Mike Newell,Jake Gyllenhaal
255,2010,55,When in Rome,"    Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.",91,Comedy,5.6,25,57017,32.67,Mark Steven Johnson,Kristen Bell
256,2010,56,The Tourist,"    Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.",103,Action,6,37,204932,67.63,Florian Henckel von Donnersmarck,Johnny Depp
257,2010,57,Leap Year,"    Anna Brady plans to travel to Dublin, Ireland to propose marriage to her boyfriend Jeremy on Leap Day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.",100,Comedy,6.5,33,85173,25.92,Anand Tucker,Amy Adams
258,2010,58,Takers,    A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.,107,Action,6.2,45,52931,57.74,John Luessenhop,Chris Brown
259,2010,59,The Debt,"    In 1965, three Mossad agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the agents share come back to haunt them.",113,Drama,6.9,65,60669,31.18,John Madden,Helen Mirren
260,2010,60,Legion,"    When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.",100,Action,5.2,32,91334,40.17,Scott Stewart,Paul Bettany
261,2010,61,A Nightmare on Elm Street,"    The spectre of a dead child rapist haunts the children of the parents who murdered him, stalking and killing them in their dreams.",95,Crime,5.2,35,84864,63.08,Samuel Bayer,Jackie Earle Haley
262,2010,62,Never Let Me Go,"    The lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking.",103,Drama,7.2,69,129207,2.43,Mark Romanek,Keira Knightley
263,2010,63,The Next Three Days,    A married couple's life is turned upside down when the wife is accused of a murder.,133,Action,7.4,52,166068,21.15,Paul Haggis,Russell Crowe
264,2010,64,The Last Song,"    A rebellious girl is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.",107,Drama,5.9,33,73803,62.95,Julie Anne Robinson,Miley Cyrus
265,2010,65,The Sorcerer's Apprentice,    Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana la Fée.,109,Action,6.1,46,142650,63.15,Jon Turteltaub,Nicolas Cage
266,2010,66,Predators,    A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,107,Action,6.4,51,197903,52,Nimród Antal,Adrien Brody
267,2010,67,Remember Me,"    A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder.",113,Drama,7.1,40,128367,19.07,Allen Coulter,Robert Pattinson
268,2010,68,Machete,"    After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",105,Action,6.6,60,181233,26.59,Ethan Maniquis,Danny Trejo
269,2010,69,Super,"    After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, but lacking in heroic skills.",96,Action,6.8,50,70092,0.32,James Gunn,Rainn Wilson
270,2010,70,Animal Kingdom,    A seventeen year-old navigates his survival amongst an explosive criminal family and the detective who thinks he can save him.,113,Crime,7.3,83,51236,1.04,David Michôd,James Frecheville
271,2010,71,The Wolfman,"    Upon his return to his ancestral homeland, an American man is bitten, and subsequently cursed by, a werewolf.",103,Drama,5.8,43,97209,61.98,Joe Johnston,Benicio Del Toro
272,2010,72,Flipped,    Two eighth-graders start to have feelings for each other despite being total opposites.,90,Comedy,7.7,45,74164,1.75,Rob Reiner,Madeline Carroll
273,2010,73,Megamind,"    The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",95,Animation,7.3,63,205088,148.4,Tom McGrath,Will Ferrell
274,2010,74,I Saw the Devil,    A secret agent exacts revenge on a serial killer through a series of captures and releases.,142,Action,7.8,67,92523,0.13,Jee-woon Kim,Byung-Hun Lee
275,2010,75,Eat Pray Love,"    A married woman realizes how unhappy her marriage really is, and that her life needs to go in a different direction. After a painful divorce, she takes off on a round-the-world journey to ""find herself"".",133,Drama,5.8,50,76605,80.57,Ryan Murphy,Julia Roberts
276,2010,76,Get Him to the Greek,    A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,109,Adventure,6.4,65,160740,60.97,Nicholas Stoller,Jonah Hill
277,2010,77,Life as We Know It,    Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.,114,Comedy,6.6,39,111940,53.37,Greg Berlanti,Katherine Heigl
278,2010,78,Diary of a Wimpy Kid,"    The adventures of a 12 year old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.",94,Comedy,6.2,56,38132,64,Thor Freudenthal,Zachary Gordon
279,2010,79,Buried,    Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.,95,Drama,7,65,138090,1.03,Rodrigo Cortés,Ryan Reynolds
280,2010,80,The Ward,    An institutionalized young woman becomes terrorized by a ghost.,89,Horror,5.6,38,38002, ,John Carpenter,Amber Heard
281,2010,81,Made in Dagenham,"    A dramatization of the 1968 strike at the Ford Dagenham car plant, where female workers walked out in protest against sexual discrimination.",113,Biography,7.2,65,13008,1.09,Nigel Cole,Sally Hawkins
282,2010,82,Resident Evil: Afterlife,"    While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.",96,Action,5.9,37,152001,60.13,Paul W.S. Anderson,Milla Jovovich
283,2010,83,Nanny McPhee Returns,"    Nanny McPhee arrives to help a harried young mother who is trying to run the family farm while her husband is away at war, though she uses her magic to teach the woman's children and their two spoiled cousins five new lessons.",109,Comedy,6.1,52,24627,29.2,Susanna White,Emma Thompson
284,2010,84,Cop Out,"    Jimmy's rare baseball card is robbed. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his cop partner Paul to track down the robber, a memorabilia-obsessed gangster.",107,Action,5.6,31,81197,44.88,Kevin Smith,Bruce Willis
285,2010,85,The Runaways,    A coming-of-age biographical film about the 1970s teenage all-girl rock band The Runaways. The relationship between band members Cherie Currie and Joan Jett is also explored.,106,Biography,6.6,65,43551,3.57,Floria Sigismondi,Kristen Stewart
286,2010,86,Dear John,    A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,108,Drama,6.3,43,127163,80.01,Lasse Hallström,Channing Tatum
287,2010,87,Tucker and Dale vs Evil,    Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.,89,Comedy,7.6,65,152138,0.22,Eli Craig,Tyler Labine
288,2010,88,Trollhunter,"    A group of students investigates a series of mysterious bear killings, but learns that there are much more dangerous things going on. They start to follow a mysterious hunter, learning that he is actually a troll hunter.",103,Drama,7,61,62956,0.25,André _vredal,Otto Jespersen
289,2010,89,The Way Back,"    Siberian gulag escapees travel 4,000 miles by foot to freedom in India.",133,Adventure,7.3,66,101274,2.7,Peter Weir,Jim Sturgess
290,2010,90,Death at a Funeral,    A funeral ceremony turns into a debacle of exposed family secrets and misplaced bodies.,92,Comedy,5.7,51,41477,42.74,Neil LaBute,Chris Rock
291,2010,91,The Chronicles of Narnia: The Voyage of the Dawn Treader,"    Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.",113,Adventure,6.3,53,127829,104.3,Michael Apted,Ben Barnes
292,2010,92,The Way,"    A father heads overseas to recover the body of his estranged son who died while traveling the ""El camino de Santiago,"" and decides to take the pilgrimage himself.",123,Adventure,7.4,64,27464,4.43,Emilio Estevez,Martin Sheen
293,2010,93,All Good Things,"    Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed.",101,Crime,6.3,57,49342,0.58,Andrew Jarecki,Ryan Gosling
294,2010,94,Tooth Fairy,    A bad deed on the part of a tough minor-league hockey player results in an unusual sentence: He must serve one week as a real-life tooth fairy.,101,Comedy,5,36,37375,60.02,Michael Lembeck,Dwayne Johnson
295,2010,95,The Back-up Plan,"    A woman conceives twins through artificial insemination, only to meet the man of her dreams on the very same day.",104,Comedy,5.4,34,45766,37.49,Alan Poul,Jennifer Lopez
296,2010,96,Centurion,    A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is devastated in a guerrilla attack.,97,Action,6.4,62,73442,0.12,Neil Marshall,Michael Fassbender
297,2010,97,Country Strong,"    A rising country-music songwriter works with a fallen star to work their way to fame, causing romantic complications along the way.",117,Drama,6.3,45,16190,20.22,Shana Feste,Garrett Hedlund
298,2010,98,The Kids Are All Right,    Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,106,Comedy,7,86,120124,20.81,Lisa Cholodenko,Annette Bening
299,2010,99,How Do You Know,"    After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.",121,Comedy,5.4,46,40644,30.21,James L. Brooks,Reese Witherspoon
300,2010,100,The American,    An assassin hides out in Italy for one last assignment.,105,Crime,6.3,61,86386,35.61,Anton Corbijn,George Clooney
301,2011,1,Captain America: The First Avenger,"    Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",124,Action,6.9,66,645250,176.6,Joe Johnston,Chris Evans
302,2011,2,Thor,"    The powerful, but arrogant god Thor, is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",115,Action,7,57,665088,181,Kenneth Branagh,Chris Hemsworth
303,2011,3,Harry Potter and the Deathly Hallows: Part 2,"    Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",130,Adventure,8.1,87,682362,381,David Yates,Daniel Radcliffe
304,2011,4,Immortals,"    Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",110,Action,6,46,152050,83.5,Tarsem Singh,Henry Cavill
305,2011,5,Sucker Punch,"    A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.",110,Action,6.1,33,217083,36.39,Zack Snyder,Emily Browning
306,2011,6,X: First Class,"    In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",131,Action,7.7,65,601400,146.4,Matthew Vaughn,James McAvoy
307,2011,7,Just Go with It,"    On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",117,Comedy,6.4,33,198938,103,Dennis Dugan,Adam Sandler
308,2011,8,Our Idiot Brother,    A comedy centered on an idealist who barges into the lives of his three sisters.,90,Comedy,6.4,60,80338,24.81,Jesse Peretz,Paul Rudd
309,2011,9,The Help,"    An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",146,Drama,8.1,62,388378,169.7,Tate Taylor,Emma Stone
310,2011,10,The Girl with the Dragon Tattoo,"    Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",158,Crime,7.8,71,384261,102.5,David Fincher,Daniel Craig
311,2011,11,The Intouchables,"    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",112,Biography,8.5,57,663800,13.18,Olivier Nakache,François Cluzet
312,2011,12,Drive,    A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,100,Crime,7.8,78,516320,35.06,Nicolas Winding Refn,Ryan Gosling
313,2011,13,Bridesmaids,"    Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",125,Comedy,6.8,75,247536,169.1,Paul Feig,Kristen Wiig
314,2011,14,"Crazy, Stupid, Love.","    A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",118,Comedy,7.4,68,433560,84.35,Glenn Ficarra,Steve Carell
315,2011,15,The Cabin in the Woods,"    Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",95,Comedy,7,72,334501,42.07,Drew Goddard,Kristen Connolly
316,2011,16,Super 8,"    During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.",112,Mystery,7,72,318565,127,J.J. Abrams,Elle Fanning
317,2011,17,Hanna,"    A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",111,Action,6.8,65,176679,40.26,Joe Wright,Saoirse Ronan
318,2011,18,Sleeping Beauty,"    A haunting portrait of Lucy, a young university student drawn into a mysterious hidden world of unspoken desires.",101,Drama,5.3,57,29084,0.04,Julia Leigh,Emily Browning
319,2011,19,Johnny English Reborn,    Johnny English goes up against international assassins hunting down the Chinese premier.,101,Action,6.3,46,109114,8.31,Oliver Parker,Rowan Atkinson
320,2011,20,Limitless,"    With the help of a mysterious pill that enables the user to access one hundred percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.",105,Mystery,7.4,59,487532,79.25,Neil Burger,Bradley Cooper
321,2011,21,La piel que habito,"    A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",120,Drama,7.6,70,121970,3.19,Pedro Almodóvar,Antonio Banderas
322,2011,22,Warrior,"    The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",140,Drama,8.2,71,399951,13.66,Gavin O'Connor,Tom Hardy
323,2011,23,Hugo,"    In Paris in 1931, an orphan named Hugo Cabret, who lives in the walls of a train station, is wrapped up in a mystery involving his late father and an automaton.",126,Adventure,7.5,83,282766,73.86,Martin Scorsese,Asa Butterfield
324,2011,24,In Time,"    In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",109,Action,6.7,53,343331,37.52,Andrew Niccol,Justin Timberlake
325,2011,25,Mission: Impossible - Ghost Protocol,"    The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",132,Action,7.4,73,424141,209.4,Brad Bird,Tom Cruise
326,2011,26,Midnight in Paris,"    While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.",94,Comedy,7.7,81,353049,56.82,Woody Allen,Owen Wilson
327,2011,27,The Hangover Part II,"    Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.",102,Comedy,6.5,44,428907,254.4,Todd Phillips,Bradley Cooper
328,2011,28,We Bought a Zoo,"    Set in Southern California, a father moves his young family to the countryside to renovate and re-open a struggling zoo.",124,Comedy,7.1,58,125783,75.62,Cameron Crowe,Matt Damon
329,2011,29,Margin Call,"    Follows the key people at an investment bank, over a 24-hour period, during the early stages of the 2008 financial crisis.",107,Drama,7.1,76,106480,5.35,J.C. Chandor,Zachary Quinto
330,2011,30,Green Lantern,"    Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",114,Action,5.5,39,250141,116.6,Martin Campbell,Ryan Reynolds
331,2011,31,Source Code,    A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.,93,Action,7.5,74,448057,54.71,Duncan Jones,Jake Gyllenhaal
332,2011,32,Pirates of the Caribbean: On Stranger Tides,"    Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",136,Action,6.6,45,442719,241,Rob Marshall,Johnny Depp
333,2011,33,Conan the Barbarian,    A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,113,Action,5.2,36,90235,21.3,Marcus Nispel,Jason Momoa
334,2011,34,Shame,    A man's carefully cultivated private life is disrupted when his sister arrives for an indefinite stay.,101,Drama,7.2,72,170075,4,Steve McQueen,Michael Fassbender
335,2011,35,The Ides of March,    An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.,101,Drama,7.1,67,206476,40.96,George Clooney,Paul Giamatti
336,2011,36,Apollo 18,"    Decades-old found footage from NASA's abandoned Apollo 18 mission, where two American astronauts were sent on a secret expedition, reveals the reason the U.S. has never returned to the moon.",86,Horror,5.2,24,51109,17.69,Gonzalo López-Gallego,Warren Christie
337,2011,37,Sherlock Holmes: A Game of Shadows,"    Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",129,Action,7.5,48,390333,186.8,Guy Ritchie,Robert Downey Jr.
338,2011,38,Your Highness,"    When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.",102,Adventure,5.5,31,92486,21.6,David Gordon Green,Danny McBride
339,2011,39,Friends with Benefits,"    A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.",109,Comedy,6.6,63,314507,55.8,Will Gluck,Mila Kunis
340,2011,40,Moneyball,    Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,133,Biography,7.6,87,323058,75.61,Bennett Miller,Brad Pitt
341,2011,41,No Strings Attached,"    A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.",108,Comedy,6.2,50,195946,70.66,Ivan Reitman,Natalie Portman
342,2011,42,Melancholia,    Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,135,Drama,7.2,80,151892,3.03,Lars von Trier,Kirsten Dunst
343,2011,43,Horrible Bosses,    Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.,98,Comedy,6.9,57,395930,117.5,Seth Gordon,Jason Bateman
344,2011,44,Fast Five,    Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,130,Action,7.3,66,327054,209.8,Justin Lin,Vin Diesel
345,2011,45,Cowboys & Aliens,"    A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way.",119,Action,6,50,194495,100.2,Jon Favreau,Daniel Craig
346,2011,46,The Change-Up,"    Dave is a married man with three kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain, lightning strikes and they switch bodies.",112,Comedy,6.3,39,153943,37.08,David Dobkin,Jason Bateman
347,2011,47,Contagion,"    Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure.",106,Action,6.6,70,200152,75.66,Steven Soderbergh,Matt Damon
348,2011,48,The Woman,"    When a successful country lawyer captures and attempts to ""civilize"" the last remaining member of a violent clan that has roamed the Northeast coast for decades, he puts the lives of his family in jeopardy.",101,Horror,6,58,19866, ,Lucky McKee,Pollyanna McIntosh
349,2011,49,Spy Kids 4: All the Time in the World,"    A retired spy is called back into action, and to bond with her new step-children, she invites them along for the adventure to stop the evil Timekeeper from taking over the world.",89,Action,3.5,37,19622,38.54,Robert Rodriguez,Jessica Alba
350,2011,50,The Twilight Saga: Breaking Dawn - Part 1,"    The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",117,Adventure,4.9,45,206391,281.2,Bill Condon,Kristen Stewart
