Movie_ID,Year,Rank,Title,Description,Duration,Genre,Rating,Metascore,Votes,Gross_Earning_in_Mil,Director,Actor
30,2008,30,Pineapple Express,    A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.,111,Action,7,64,290345,87.34,David Gordon Green,Seth Rogen
31,2008,31,The Mummy: Tomb of the Dragon Emperor,"    In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago.",112,Action,5.2,31,139470,102.4,Rob Cohen,Brendan Fraser
32,2008,32,Body of Lies,    A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.,128,Action,7.1,57,197806,39.39,Ridley Scott,Leonardo DiCaprio
33,2008,33,You Don't Mess with the Zohan,    An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,113,Comedy,5.5,54,175958,100,Dennis Dugan,Adam Sandler
34,2008,34,Revolutionary Road,    A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,119,Drama,7.3,69,176476,22.91,Sam Mendes,Leonardo DiCaprio
35,2008,35,Zack and Miri Make a Porno,"    Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",101,Comedy,6.6,56,164421,31.46,Kevin Smith,Seth Rogen
36,2008,36,RocknRolla,"    In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into...                See full summary_»",114,Action,7.3,53,218175,5.69,Guy Ritchie,Gerard Butler
37,2008,37,Doubt,    A Catholic school principal questions a priest's ambiguous relationship with a troubled young student.,104,Drama,7.5,68,112709,33.42,John Patrick Shanley,Meryl Streep
38,2008,38,Rambo,"    In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",92,Action,7,46,200259,42.75,Sylvester Stallone,Sylvester Stallone
39,2008,39,"Definitely, Maybe",    A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter.,112,Comedy,7.2,59,144850,31.97,Adam Brooks,Ryan Reynolds
40,2008,40,Vicky Cristina Barcelona,"    Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",96,Comedy,7.1,70,226086,23.22,Woody Allen,Rebecca Hall
41,2008,41,Sex Drive,    A high school senior drives cross-country with his best friends to hook up with a babe he met online.,109,Adventure,6.5,49,79361,8.4,Sean Anders,Josh Zuckerman
42,2008,42,"Synecdoche, New York","    A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",124,Comedy,7.5,67,70934,3.08,Charlie Kaufman,Philip Seymour Hoffman
43,2008,43,Kung Fu Panda,"    The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance. However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a novice in martial arts.",92,Animation,7.6,73,375419,215.4,Mark Osborne,Jack Black
44,2008,44,Burn After Reading,    A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.,96,Comedy,7,63,285126,60.36,Ethan Coen,Brad Pitt
45,2008,45,Never Back Down,    A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.,110,Action,6.6,39,90185,24.85,Jeff Wadlow,Sean Faris
46,2008,46,W.,    A chronicle of the life and Presidency of George W. Bush.,129,Biography,6.3,56,44050,25.53,Oliver Stone,Josh Brolin
47,2008,47,Seven Pounds,    A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,123,Drama,7.6,36,266007,69.95,Gabriele Muccino,Will Smith
48,2008,48,The Bank Job,    Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry. But Terry and his crew don't realize the boxes also contain a treasure trove of dirty secrets - secrets that will thrust them into a deadly web of corruption and illicit scandal.,111,Crime,7.2,69,165139,30.03,Roger Donaldson,Jason Statham
49,2008,49,21,"    ""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",123,Crime,6.8,48,212084,81.16,Robert Luketic,Jim Sturgess
50,2008,50,Yes Man,"    A man challenges himself to say ""yes"" to everything for an entire year.",104,Comedy,6.8,46,308203,97.69,Peyton Reed,Jim Carrey
51,2008,51,Let the Right One In,"    Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",114,Drama,7.9,82,193736,2.12,Tomas Alfredson,Kåre Hedebrant
52,2008,52,The Happening,"    A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",91,Mystery,5,34,185003,64.51,M. Night Shyamalan,Mark Wahlberg
53,2008,53,Disaster Movie,"    Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",87,Comedy,1.9,15,82156,14.19,Jason Friedberg,Carmen Electra
54,2008,54,Cloverfield,    A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,85,Action,7,64,348229,80.05,Matt Reeves,Mike Vogel
55,2008,55,The Strangers,    A young couple staying in an isolated vacation home are terrorized by three unknown assailants.,86,Horror,6.2,47,109482,52.6,Bryan Bertino,Scott Speedman
56,2008,56,Hancock,    Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,92,Action,6.4,49,407198,227.9,Peter Berg,Will Smith
57,2008,57,Bronson,"    A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson.",92,Action,7.1,71,108655,0.1,Nicolas Winding Refn,Tom Hardy
58,2008,58,Bolt,    The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,96,Animation,6.9,67,172383,114,Byron Howard,John Travolta
59,2008,59,Diary of a Nymphomaniac,"    A chronicle of the life of a middle-class French girl's sexual adventures, her then fall into prostitution, and her ultimate redemption.",101,Drama,5.8,,9521,,Christian Molina,Belén Fabra
60,2008,60,Doomsday,    A futuristic action thriller where a team of people work to prevent a disaster threatening the future of the human race.,105,Action,6,51,68388,10.96,Neil Marshall,Rhona Mitra
61,2008,61,27 Dresses,"    After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",111,Comedy,6.1,47,143411,76.81,Anne Fletcher,Katherine Heigl
62,2008,62,The Spirit,"    Rookie cop Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces in Central City.",103,Action,4.8,30,57369,19.78,Frank Miller,Gabriel Macht
63,2008,63,Jumper,    A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.,88,Action,6.1,35,269953,80.17,Doug Liman,Hayden Christensen
64,2008,64,Max Payne,"    Coming together to solve a series of murders in New York City are a police detective whose family was slain as part of a conspiracy and an assassin out to avenge her sister's death. The duo will be hunted by the police, the mob, and a ruthless corporation.",100,Action,5.4,31,117039,40.69,John Moore,Mark Wahlberg
65,2008,65,Valkyrie,"    A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",121,Drama,7.1,56,212062,83.08,Bryan Singer,Tom Cruise
66,2008,66,Death Race,    Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.,105,Action,6.4,43,186467,36.32,Paul W.S. Anderson,Jason Statham
67,2008,67,Madagascar: Escape 2 Africa,"    The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",89,Animation,6.7,61,180594,180,Eric Darnell,Ben Stiller
68,2008,68,The Duchess,"    A chronicle of the life of 18th-century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life.",110,Biography,6.9,62,72002,13.82,Saul Dibb,Keira Knightley
69,2008,69,The Chronicles of Narnia: Prince Caspian,"    The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",150,Action,6.5,62,177189,141.6,Andrew Adamson,Ben Barnes
70,2008,70,Get Smart,"    Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.",110,Action,6.5,54,188626,130.3,Peter Segal,Steve Carell
71,2008,71,Defiance,"    Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.",137,Action,7.2,58,129457,28.64,Edward Zwick,Daniel Craig
72,2008,72,The Ruins,"    A group of friends whose leisurely Mexican holiday takes a turn for the worse when they, along with a fellow tourist, embark on a remote archaeological dig in the jungle where something evil lives among the ruins.",90,Horror,5.9,44,65349,17.43,Carter Smith,Shawn Ashmore
73,2008,73,Yip Man,"    During the Japanese invasion of 1937, when a wealthy martial artist is forced to leave his home and work to support his family, he reluctantly agrees to train others in the art of Wing Chun for self-defense.",106,Action,8,59,194632,60.27,Wilson Yip,Donnie Yen
74,2008,74,Baby Mama,"    A successful, single businesswoman who dreams of having a baby discovers she is infertile and hires a working class woman to be her unlikely surrogate.",99,Comedy,6,55,38973,35.74,Michael McCullers,Tina Fey
75,2008,75,Changeling,    A grief-stricken mother takes on the LAPD to her own detriment when it tries to pass off an obvious impostor as her missing child.,141,Biography,7.7,63,221721,31.49,Clint Eastwood,Angelina Jolie
76,2008,76,Nick and Norah's Infinite Playlist,"    High school student Nick O'Leary, member of the Queercore band The Jerk Offs, meets college-bound Norah Silverberg when she asks him to be her boyfriend for five minutes.",90,Comedy,6.7,64,83947,0.01,Peter Sollett,Michael Cera
77,2008,77,Eden Lake,"    Refusing to let anything spoil their romantic weekend break, a young couple confront a gang of loutish youths with terrifyingly brutal consequences.",91,Horror,6.8,65,69358,49.55,James Watkins,Kelly Reilly
78,2008,78,Australia,"    Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.",165,Adventure,6.6,53,113087,101.7,Baz Luhrmann,Nicole Kidman
79,2008,79,Journey to the Center of the Earth,"    On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",93,Action,5.8,57,103442,15.09,Eric Brevig,Brendan Fraser
80,2008,80,Ponyo,"    A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",101,Animation,7.7,86,105767,31.84,Hayao Miyazaki,Cate Blanchett
81,2008,81,"Angus, Thongs and Perfect Snogging","    The story centers on a 14-year-old girl who keeps a diary about the ups and downs of being a teenager, including the things she learns about kissing.",100,Comedy,6.3, ,23675, ,Gurinder Chadha,Georgia Groome
82,2008,82,Milk,"    The story of Harvey Milk, and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official.",128,Biography,7.6,84,154699,7.95,Gus Van Sant,Sean Penn
83,2008,83,Punisher: War Zone,"    Frank Castle known as Punisher ruthlessly demolishes organized crime, but it starts an even bigger war.",103,Action,6,30,56825,43.95,Lexi Alexander,Ray Stevenson
84,2008,84,Speed Racer,"    A young driver, Speed Racer, aspires to be champion of the racing world with the help of his family and his high-tech Mach 5 automobile.",135,Action,6,37,64725,30.69,Lana Wachowski,Emile Hirsch
85,2008,85,Mirrors,    An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,110,Horror,6.2,35,96439,79.37,Alexandre Aja,Kiefer Sutherland
86,2008,86,The Day the Earth Stood Still,    A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,104,Drama,5.5,40,154551,94.78,Scott Derrickson,Keanu Reeves
87,2008,87,"10,000 BC","    In the prehistoric past, D'Leh is a mammoth hunter who becomes with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",109,Action,5.1,34,119238,101.1,Roland Emmerich,Camilla Belle
88,2008,88,Eagle Eye,"    Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, using the technology of everyday life to track and control their every move.",118,Action,6.6,43,166134,13.21,D.J. Caruso,Shia LaBeouf
89,2008,89,Ghost Town,"    Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",102,Comedy,6.7,72,65615,31.69,David Koepp,Ricky Gervais
90,2008,90,Quarantine,"    A television reporter and her cameraman are trapped inside a building quarantined by the CDC, after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.",89,Horror,6,53,64773,143.1,John Erick Dowdle,Jennifer Carpenter
91,2008,91,Marley & Me,"    A family learns important life lessons from their adorable, but naughty and neurotic dog.",115,Comedy,7.1,53,134841,0.15,David Frankel,Owen Wilson
92,2008,92,Hunger,    Irish republican Bobby Sands leads the inmates of a Northern Irish prison in a hunger strike.,96,Biography,7.6,82,60701,1.08,Steve McQueen,Stuart Graham
93,2008,93,Sugar,"    Dominican baseball star Miguel ""Sugar"" Santos is recruited to play in the U.S. minor-leagues.",114,Drama,7.2,82,4409,0.02,Anna Boden,Algenis Perez Soto
94,2008,94,Wild Child,    A rebellious Malibu princess is shipped off to a strict English boarding school by her father.,124,Comedy,6.1, ,44871, ,Nick Moore,Emma Roberts
