,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
22,Liam Neeson,6/7/52,"Ballymena, Co. Antrim, Northern Ireland, UK","['Kinsey', ""Schindler's List"", 'The Grey', 'The A-Team']",22,42,https://www.imdb.com/name/nm0000553/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000553/awards?ref_=nm_ql_2
23,Will Ferrell,7/16/67,"Irvine, California, USA","['Talladega Nights: The Ballad of Ricky Bobby', 'Anchorman 2: The Legend Continues', 'Anchorman: The Legend of Ron Burgundy', 'Blades of Glory']",12,75,https://www.imdb.com/name/nm0002071/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0002071/awards?ref_=nm_ql_2
24,Ben Burtt,7/12/48,"Jamesville, New York, USA","['WALL·E', 'Star Wars: Episode IV - A New Hope', 'Star Wars: Episode I - The Phantom Menace', 'Super 8']",18,45,https://www.imdb.com/name/nm0123785/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0123785/awards?ref_=nm_ql_2
25,Natalie Portman,6/9/81,"Jerusalem, Israel","['Black Swan', 'V for Vendetta', 'Closer', 'Léon: The Professional']",86,132,https://www.imdb.com/name/nm0000204/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000204/awards?ref_=nm_ql_2
26,Josh Zuckerman,4/1/85,"Stanford, California, USA","['Austin Powers in Goldmember', 'Sex Drive', 'Feast', 'Surviving Christmas']",0,2,https://www.imdb.com/name/nm0958430/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0958430/awards?ref_=nm_ql_2
27,Freddie Highmore,2/14/92,"Camden Town, London, England, UK","['Finding Neverland', 'Charlie and the Chocolate Factory', 'The Art of Getting By', 'Bates Motel']",13,31,https://www.imdb.com/name/nm0383603/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0383603/awards?ref_=nm_ql_2
28,Scott Speedman,9/1/75,"London, England, UK","['Underworld', 'The Strangers', 'Underworld: Evolution', 'Barefoot']",2,9,https://www.imdb.com/name/nm0005454/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005454/awards?ref_=nm_ql_2
29,Brendan Fraser,12/3/68,"Indianapolis, Indiana, USA","['The Mummy', 'Crash', 'The Mummy Returns', 'The Mummy: Tomb of the Dragon Emperor']",8,11,https://www.imdb.com/name/nm0000409/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000409/awards?ref_=nm_ql_2
30,Camilla Belle,10/2/86,"Los Angeles, California, USA","['Practical Magic', 'When a Stranger Calls', 'Push', 'The Lost World: Jurassic Park']",0,5,https://www.imdb.com/name/nm0004741/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0004741/awards?ref_=nm_ql_2
31,Rebecca Hall,5/3/82,"London, England, UK","['Vicky Cristina Barcelona', 'The Town', 'The Prestige', 'Christine']",11,28,https://www.imdb.com/name/nm0356017/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0356017/awards?ref_=nm_ql_2
32,Will Smith,9/25/68,"Philadelphia, Pennsylvania, USA","['The Fresh Prince of Bel-Air', 'I Am Legend', 'Men in Black', 'Wild Wild West']",63,129,https://www.imdb.com/name/nm0000226/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000226/awards?ref_=nm_ql_2
33,Gerard Butler,11/13/69,"Paisley, Scotland, UK","['The Phantom of the Opera', '300', 'Law Abiding Citizen', 'The Bounty Hunter']",4,15,https://www.imdb.com/name/nm0124930/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0124930/awards?ref_=nm_ql_2
34,Harrison Ford,7/13/42,"Chicago, Illinois, USA","['Raiders of the Lost Ark', 'The Fugitive', 'Witness', 'Air Force One']",41,40,https://www.imdb.com/name/nm0000148/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000148/awards?ref_=nm_ql_2
35,Sylvester Stallone,7/6/46,"New York City, New York, USA","['Rocky', 'Rocky IV', 'Creed', 'Rocky III']",57,66,https://www.imdb.com/name/nm0000230/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000230/awards?ref_=nm_ql_2
36,Mickey Rourke,9/16/52,"Schenectady, New York, USA","['The Wrestler', 'Sin City', 'Angel Heart', 'Iron Man 2']",38,38,https://www.imdb.com/name/nm0000620/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000620/awards?ref_=nm_ql_2
37,Jack Black,8/28/69,"Hermosa Beach, California, USA","['School of Rock', 'Nacho Libre', 'King Kong', 'High Fidelity']",11,48,https://www.imdb.com/name/nm0085312/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0085312/awards?ref_=nm_ql_2
38,Mark Wahlberg,6/5/71,"Dorchester, Boston, Massachusetts, USA","['The Fighter', 'The Departed', 'Boogie Nights', 'Ted']",21,71,https://www.imdb.com/name/nm0000242/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000242/awards?ref_=nm_ql_2
39,Josh Brolin,2/12/68,"Santa Monica, California, USA","['No Country for Old Men', 'Avengers: Infinity War', 'Inherent Vice', 'Milk']",16,52,https://www.imdb.com/name/nm0000982/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000982/awards?ref_=nm_ql_2
40,Tom Cruise,7/3/62,"Syracuse, New York, USA","['Top Gun', 'The Last Samurai', 'Jerry Maguire', 'Minority Report']",52,81,https://www.imdb.com/name/nm0000129/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000129/awards?ref_=nm_ql_2
41,Anna Faris,11/29/76,"Baltimore, Maryland, USA","['The House Bunny', 'Just Friends', 'Scary Movie 4', 'Brokeback Mountain']",1,22,https://www.imdb.com/name/nm0267506/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0267506/awards?ref_=nm_ql_2
42,Hayden Christensen,4/19/81,"Vancouver, British Columbia, Canada","['Star Wars: Episode III - Revenge of the Sith', 'Star Wars: Episode II - Attack of the Clones', 'Jumper', 'Shattered Glass']",9,19,https://www.imdb.com/name/nm0159789/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0159789/awards?ref_=nm_ql_2
43,Steve Carell,8/16/62,"Concord, Massachusetts, USA","['The Office', 'The 40 Year Old Virgin', 'Foxcatcher', 'Little Miss Sunshine']",33,130,https://www.imdb.com/name/nm0136797/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0136797/awards?ref_=nm_ql_2
44,Tom Hardy,9/15/77,"Hammersmith, London, England, UK","['Inception', 'The Dark Knight Rises', 'Locke', 'Mad Max: Fury Road']",17,78,https://www.imdb.com/name/nm0362766/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0362766/awards?ref_=nm_ql_2
45,Philip Seymour Hoffman,7/23/67,"Fairport, New York, USA","['The Master', 'Capote', ""Charlie Wilson's War"", 'Almost Famous']",90,99,https://www.imdb.com/name/nm0000450/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000450/awards?ref_=nm_ql_2
46,Ben Barnes,8/20/81,"London, England, UK","['The Chronicles of Narnia: Prince Caspian', 'The Chronicles of Narnia: The Voyage of the Dawn Treader', 'The Big Wedding', 'Dorian Gray']",0,5,https://www.imdb.com/name/nm1602660/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1602660/awards?ref_=nm_ql_2
47,Jim Sturgess,5/16/78,"Wandsworth, London, England, UK","['21', 'Across the Universe', 'Cloud Atlas', 'The Best Offer']",2,3,https://www.imdb.com/name/nm0836343/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0836343/awards?ref_=nm_ql_2
