,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
158,Sean Hayes,6/26/70,"Glen Ellyn, Illinois, USA","['Will & Grace', 'The Cat in the Hat', 'The Three Stooges', 'Cats & Dogs']",17,44,https://www.imdb.com/name/nm0005003/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005003/awards?ref_=nm_ql_2
159,Michael Shannon,8/7/74,"Lexington, Kentucky, USA","['Midnight Special', 'Take Shelter', 'The Shape of Water', '99 Homes']",34,88,https://www.imdb.com/name/nm0788335/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0788335/awards?ref_=nm_ql_2
160,Winona Ryder,10/29/71,"Winona, Minnesota, USA","['Little Women', 'Heathers', 'Girl, Interrupted', 'Alien: Resurrection']",19,49,https://www.imdb.com/name/nm0000213/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000213/awards?ref_=nm_ql_2
161,Marion Cotillard,9/30/75,"Paris, France","['La Vie en Rose', 'Inception', 'Two Days, One Night', 'Rust and Bone']",78,114,https://www.imdb.com/name/nm0182839/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0182839/awards?ref_=nm_ql_2
162,Jesse McCartney,4/9/87,"New York City, New York, USA","['Keith', 'Alvin and the Chipmunks: Chipwrecked', 'Alvin and the Chipmunks', 'Chernobyl Diaries']",7,13,https://www.imdb.com/name/nm0565366/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0565366/awards?ref_=nm_ql_2
163,Jason Segel,1/18/80,"Los Angeles, California, USA","['Forgetting Sarah Marshall', 'The Muppets', 'The End of the Tour', 'Sex Tape']",7,27,https://www.imdb.com/name/nm0781981/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0781981/awards?ref_=nm_ql_2
164,Julia Dietze,1/9/81,"Marseille, Bouches-du-Rhône, France","['Iron Sky', 'Iron Sky: The Coming Race', '1 1/2 Ritter - Auf der Suche nach der hinrei_enden Herzelinde', 'Berlin, I Love You']",NA,NA,https://www.imdb.com/name/nm1087430/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1087430/awards?ref_=nm_ql_2
165,Danielle Panabaker,9/19/87,"Augusta, Georgia, USA","['The Flash', 'Sky High', 'Friday the 13th', 'Empire Falls']",3,6,https://www.imdb.com/name/nm1263939/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1263939/awards?ref_=nm_ql_2
166,Sam Riley,1/8/80,"Leeds, West Yorkshire, England, UK","['Control', 'Maleficent', 'Pride and Prejudice and Zombies', 'On the Road']",7,10,https://www.imdb.com/name/nm0727165/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0727165/awards?ref_=nm_ql_2
167,Alicia Vikander,10/3/88,"Gothenburg, Västra Götalands län, Sweden","['Ex Machina', 'The Danish Girl', 'The Man from U.N.C.L.E.', 'Testament of Youth']",52,56,https://www.imdb.com/name/nm2539953/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2539953/awards?ref_=nm_ql_2
168,Kevin James,4/26/65,"Stony Brook, New York, USA","['Paul Blart: Mall Cop', 'Paul Blart: Mall Cop 2', 'Here Comes the Boom', 'Pixels']",1,14,https://www.imdb.com/name/nm0416673/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0416673/awards?ref_=nm_ql_2
169,Dylan O'Brien,8/26/91,"New York City, New York, USA","['Teen Wolf', 'The Maze Runner', 'Maze Runner: The Scorch Trials', 'Maze Runner: The Death Cure']",12,6,https://www.imdb.com/name/nm3729721/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3729721/awards?ref_=nm_ql_2
170,Brittany Snow,3/9/86,"Tampa, Florida, USA","['Pitch Perfect', 'Hairspray', 'Pitch Perfect 2', 'Prom Night']",6,13,https://www.imdb.com/name/nm0811242/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0811242/awards?ref_=nm_ql_2
171,Benjamin Walker,6/21/82,"Georgia, USA","['The Choice', 'Abraham Lincoln: Vampire Hunter', 'In the Heart of the Sea', 'Flags of our Fathers']",NA,NA,https://www.imdb.com/name/nm0907548/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0907548/awards?ref_=nm_ql_2
172,Mathias Melloul,2/9/90,"Paris, France","['Sexual Chronicles of a French Family', 'Doutes: Chronique du sentiment politique', 'Paulette', ""L'Oranais""]",NA,NA,https://www.imdb.com/name/nm3856271/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3856271/awards?ref_=nm_ql_2
173,Aubrey Plaza,6/26/84,"Wilmington, Delaware, USA","['Safety Not Guaranteed', 'Ingrid Goes West', 'Dirty Grandpa', 'The To Do List']",4,20,https://www.imdb.com/name/nm2201555/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2201555/awards?ref_=nm_ql_2
174,Jason Sudeikis,9/18/75,"Fairfax, Virginia, USA","['Colossal', ""We're the Millers"", 'Angry Birds', 'Horrible Bosses 2']",1,7,https://www.imdb.com/name/nm0837177/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0837177/awards?ref_=nm_ql_2
175,Lily Collins,3/18/89,"Guildford, Surrey, England, UK","['The Mortal Instruments: City of Bones', 'Love, Rosie', 'Mirror Mirror', 'Abduction']",4,6,https://www.imdb.com/name/nm2934314/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2934314/awards?ref_=nm_ql_2
176,Charlotte Gainsbourg,7/21/71,"London, England, UK","['Antichrist', 'Melancholia', 'Nymphomaniac: Vol. II', 'Nymphomaniac: Vol. I']",14,33,https://www.imdb.com/name/nm0001250/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001250/awards?ref_=nm_ql_2
177,Chiwetel Ejiofor,7/10/77,"Forest Gate, London, England, UK","['12 Years a Slave', 'Dirty Pretty Things', 'Serenity', '2012']",55,75,https://www.imdb.com/name/nm0252230/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0252230/awards?ref_=nm_ql_2
178,Léa Seydoux,7/1/85,"Paris, France","['Blue Is the Warmest Color', 'Spectre', 'The Lobster', 'Midnight in Paris']",16,31,https://www.imdb.com/name/nm2244205/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2244205/awards?ref_=nm_ql_2
179,Scarlett Johansson,11/22/84,"New York City, New York, USA","['Lost in Translation', 'Her', 'The Avengers', 'Under the Skin']",40,142,https://www.imdb.com/name/nm0424060/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0424060/awards?ref_=nm_ql_2
180,Daniel Brühl,6/16/78,"Barcelona, Barcelona, Catalonia, Spain","['Good Bye Lenin!', 'Rush', 'Inglourious Basterds', 'Captain America: Civil War']",23,29,https://www.imdb.com/name/nm0117709/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0117709/awards?ref_=nm_ql_2
181,Domhnall Gleeson,5/12/83,"Dublin, Ireland","['Ex Machina', 'Frank', 'About Time', 'Anna Karenina']",5,11,https://www.imdb.com/name/nm1727304/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1727304/awards?ref_=nm_ql_2
182,Ian McKellen,5/25/39,"Burnley, Lancashire, England, UK","['The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Return of the King', 'Gods and Monsters', 'The Lord of the Rings: The Two Towers']",50,58,https://www.imdb.com/name/nm0005212/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005212/awards?ref_=nm_ql_2
183,Lorenza Izzo,9/19/89,"Las Condes, Santiago, Región Metropolitana, Chile","['The House with a Clock in Its Walls', 'Life Itself', 'Feed the Beast', 'Sex Ed']",0,1,https://www.imdb.com/name/nm4448022/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4448022/awards?ref_=nm_ql_2
184,Miles Teller,2/20/87,"Downingtown, Pennsylvania, USA","['Fantastic Four', 'The Spectacular Now', 'Whiplash', 'Insurgent']",4,22,https://www.imdb.com/name/nm1886602/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1886602/awards?ref_=nm_ql_2
185,Simon Pegg,2/14/70,"Gloucester, Gloucestershire, England, UK","['Shaun of the Dead', ""The World's End"", 'Hot Fuzz', 'Star Trek']",10,21,https://www.imdb.com/name/nm0670408/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0670408/awards?ref_=nm_ql_2
186,Brie Larson,10/1/89,"Sacramento, California, USA","['Room', 'Short Term 12', 'The Spectacular Now', 'Kong: Skull Island']",60,53,https://www.imdb.com/name/nm0488953/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0488953/awards?ref_=nm_ql_2
187,Jane Levy,12/29/89,"Los Angeles County, California, USA","['Evil Dead', 'Suburgatory', ""Don't Breathe""]",0,2,https://www.imdb.com/name/nm3994408/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3994408/awards?ref_=nm_ql_2
188,Alexandra Daddario,3/16/86,"New York City, New York, USA","['Baywatch', 'Texas Chainsaw 3D', 'Percy Jackson & the Olympians: The Lightning Thief', 'Percy Jackson: Sea of Monsters']",1,5,https://www.imdb.com/name/nm1275259/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1275259/awards?ref_=nm_ql_2
189,Chloë Grace Moretz,2/10/97,"Atlanta, Georgia, USA","['Let Me In', 'Kick-Ass', 'The 5th Wave', 'Carrie']",28,41,https://www.imdb.com/name/nm1631269/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1631269/awards?ref_=nm_ql_2
190,Alice Englert,6/15/94,"Sydney, Australia","['Beautiful Creatures', 'The Boyfriend Game', 'Ginger & Rosa', 'The Lovers']",2,5,https://www.imdb.com/name/nm2129444/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2129444/awards?ref_=nm_ql_2
191,Bruce Dern,6/4/36,"Chicago, Illinois, USA","['Nebraska', 'The Hateful Eight', ""The 'Burbs"", 'Django Unchained']",15,35,https://www.imdb.com/name/nm0001136/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001136/awards?ref_=nm_ql_2
192,Emily Baldoni,8/3/84,"Uppsala, Uppsala län, Sweden","['Coherence', 'Ghosts of Girlfriends Past', 'Snapshots', 'The Lost Tribe']",1,1,https://www.imdb.com/name/nm2032150/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2032150/awards?ref_=nm_ql_2
193,Nicholas Hoult,12/7/89,"Wokingham, Berkshire, England, UK","['Mad Max: Fury Road', 'About a Boy', 'Warm Bodies', 'X-Men: Days of Future Past']",10,13,https://www.imdb.com/name/nm0396558/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0396558/awards?ref_=nm_ql_2
194,Oscar Isaac,3/9/79,"Guatemala City, Guatemala","['Ex Machina', 'Inside Llewyn Davis', 'A Most Violent Year', 'Star Wars: Episode VIII - The Last Jedi']",21,49,https://www.imdb.com/name/nm1209966/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1209966/awards?ref_=nm_ql_2
195,Chadwick Boseman,11/29/77,"Anderson, South Carolina, USA","['Black Panther', 'Captain America: Civil War', '42', 'Avengers: Infinity War']",8,26,https://www.imdb.com/name/nm1569276/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1569276/awards?ref_=nm_ql_2
164,Macon Blair,NA,NA,"['Blue Ruin', 'Green Room', 'Murder Party', 'Gold']",2,4,https://www.imdb.com/name/nm0086301/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0086301/awards?ref_=nm_ql_2
165,Hailee Steinfeld,12/11/96,"Tarzana, Los Angeles, California, USA","['True Grit', 'The Edge of Seventeen', 'Pitch Perfect 2', ""Ender's Game""]",24,47,https://www.imdb.com/name/nm2794962/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2794962/awards?ref_=nm_ql_2
166,Gustaf Skarsgård,11/12/80,"Stockholm, Stockholms län, Sweden","['Vikings', 'Westworld', 'The Way Back', 'Evil']",3,2,https://www.imdb.com/name/nm0803890/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0803890/awards?ref_=nm_ql_2
167,Arnold Schwarzenegger,7/30/47,"Thal, Styria, Austria","['Predator', 'The 6th Day', 'Terminator 2: Judgment Day', 'True Lies']",25,36,https://www.imdb.com/name/nm0000216/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000216/awards?ref_=nm_ql_2
168,Forest Whitaker,7/15/61,"Longview, Texas, USA","['The Last King of Scotland', 'The Butler', 'Battlefield Earth', 'Black Panther']",58,56,https://www.imdb.com/name/nm0001845/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001845/awards?ref_=nm_ql_2
169,Rooney Mara,4/17/85,"Bedford, New York, USA","['Carol', 'The Girl with the Dragon Tattoo', 'The Social Network', 'Side Effects']",27,66,https://www.imdb.com/name/nm1913734/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1913734/awards?ref_=nm_ql_2
170,Jaden Smith,7/8/98,"Malibu, California, USA","['The Karate Kid', 'After Earth', 'The Pursuit of Happyness', 'The Day the Earth Stood Still']",8,20,https://www.imdb.com/name/nm1535523/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1535523/awards?ref_=nm_ql_2
171,Chris Pratt,6/21/79,"Virginia, Minnesota, USA","['Guardians of the Galaxy', 'The Lego Movie', 'Parks and Recreation', 'Jurassic World']",17,32,https://www.imdb.com/name/nm0695435/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0695435/awards?ref_=nm_ql_2
172,Jemaine Clement,1/10/74,"Masterton, New Zealand","['Flight of the Conchords', 'What We Do in the Shadows', 'Men in Black 3', 'Moana']",21,26,https://www.imdb.com/name/nm1318596/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1318596/awards?ref_=nm_ql_2
173,Shailene Woodley,11/15/91,"Simi Valley, California, USA","['Divergent', 'The Descendants', 'The Fault in Our Stars', 'Insurgent']",35,69,https://www.imdb.com/name/nm0940362/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0940362/awards?ref_=nm_ql_2
174,Michael Keaton,9/5/51,"Coraopolis, Pennsylvania, USA","['Birdman or (The Unexpected Virtue of Ignorance)', 'Spotlight', 'The Founder', 'Beetlejuice']",64,40,https://www.imdb.com/name/nm0000474/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000474/awards?ref_=nm_ql_2
175,Patrick Stewart,7/13/40,"Mirfield, Yorkshire, England, UK","['Logan', 'Star Trek: First Contact', 'Star Trek: Insurrection', 'X-Men']",17,51,https://www.imdb.com/name/nm0001772/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001772/awards?ref_=nm_ql_2
176,Ward Horton,1/14/76,"Morristown, New Jersey, USA","['Annabelle', 'Pure Genius', 'The Wolf of Wall Street', 'Midnighters']",NA,NA,https://www.imdb.com/name/nm1782235/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1782235/awards?ref_=nm_ql_2
177,Benedict Cumberbatch,7/19/76,"Hammersmith, London, England, UK","['The Imitation Game', 'Star Trek Into Darkness', 'August: Osage County', 'Doctor Strange']",31,109,https://www.imdb.com/name/nm1212722/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1212722/awards?ref_=nm_ql_2
178,Brenton Thwaites,8/10/89,"Cairns, Queensland, Australia","['Pirates of the Caribbean: Dead Men Tell No Tales', 'The Giver', 'Gods of Egypt', 'Maleficent']",2,1,https://www.imdb.com/name/nm4154798/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4154798/awards?ref_=nm_ql_2
179,Ellar Coltrane,8/27/94,"Austin, Texas, USA","['Boyhood', 'The Circle', 'Fast Food Nation', 'Drowned']",7,20,https://www.imdb.com/name/nm1294664/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1294664/awards?ref_=nm_ql_2
180,Maika Monroe,5/29/93,"Santa Barbara, California, USA","['It Follows', 'Independence Day: Resurgence', 'The 5th Wave', 'The Guest']",4,5,https://www.imdb.com/name/nm2140860/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2140860/awards?ref_=nm_ql_2
181,Justin Long,6/2/78,"Fairfield, Connecticut, USA","['Live Free or Die Hard', 'Accepted', 'Jeepers Creepers', 'Tusk']",3,8,https://www.imdb.com/name/nm0519043/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0519043/awards?ref_=nm_ql_2
182,Ryan Potter,9/12/95,"Portland, Oregon, USA","['Big Hero 6', 'Running for Grace', 'Big Hero 6: The Series', 'Supah Ninjas']",0,3,https://www.imdb.com/name/nm3994407/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3994407/awards?ref_=nm_ql_2
183,Eddie Redmayne,1/6/82,"London, England, UK","['Les Misérables', 'The Theory of Everything', 'The Danish Girl', 'Fantastic Beasts and Where to Find Them']",22,70,https://www.imdb.com/name/nm1519666/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1519666/awards?ref_=nm_ql_2
184,Sullivan Stapleton,6/14/77,"Melbourne, Victoria, Australia","['300: Rise of an Empire', 'Animal Kingdom', 'Gangster Squad', 'The Hunter']",0,4,https://www.imdb.com/name/nm0822982/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0822982/awards?ref_=nm_ql_2
185,Jack O'Connell,8/1/90,"Derby, England, UK","['Unbroken', ""'71"", 'Starred Up', 'Eden Lake']",14,11,https://www.imdb.com/name/nm1925239/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1925239/awards?ref_=nm_ql_2
186,Essie Davis,1970-0-0,NA,"['The Babadook', ""Assassin's Creed"", 'The True History of the Kelly Gang', 'Miss Fisher & the Crypt of Tears']",16,31,https://www.imdb.com/name/nm0204583/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0204583/awards?ref_=nm_ql_2
187,Diane Keaton,1/5/46,"Los Angeles, California, USA","['Annie Hall', ""Something's Gotta Give"", 'The Family Stone', 'Manhattan']",33,54,https://www.imdb.com/name/nm0000473/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000473/awards?ref_=nm_ql_2
188,Luke Evans,4/15/79,"Pontypool, Wales, UK","['Dracula Untold', 'Beauty and the Beast', 'Furious 6', 'High-Rise']",1,5,https://www.imdb.com/name/nm1812656/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1812656/awards?ref_=nm_ql_2
189,Darío Grandinetti,3/5/59,"Rosario, Santa Fe, Argentina","['Talk to Her', 'Relatos salvajes', 'Tangos Are for Two', 'The Dark Side of the Heart']",11,2,https://www.imdb.com/name/nm0334882/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0334882/awards?ref_=nm_ql_2
190,Joel Kinnaman,11/25/79,"Stockholm, Stockholms län, Sweden","['RoboCop', 'Suicide Squad', 'The Darkest Hour', 'Run All Night']",1,2,https://www.imdb.com/name/nm1172478/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1172478/awards?ref_=nm_ql_2
191,Michael Pitt,4/10/81,"West Orange, New Jersey, USA","['Funny Games', 'Seven Psychopaths', 'The Dreamers', 'I Origins']",3,7,https://www.imdb.com/name/nm0685856/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0685856/awards?ref_=nm_ql_2
192,Kit Harington,12/26/86,"London, England, UK","['Game of Thrones', 'Pompeii', 'How to Train Your Dragon 2', 'Seventh Son']",2,18,https://www.imdb.com/name/nm3229685/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3229685/awards?ref_=nm_ql_2
193,Aaron Paul,8/27/79,"Emmett, Idaho, USA","['Breaking Bad', 'Need for Speed', 'A Long Way Down', 'Central Intelligence']",19,16,https://www.imdb.com/name/nm0666739/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0666739/awards?ref_=nm_ql_2
194,Perdita Weeks,12/25/85,"Cardiff, Wales, UK","['As Above, So Below', 'Hamlet', 'Spice World', 'Ready Player One']",NA,NA,https://www.imdb.com/name/nm0917347/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0917347/awards?ref_=nm_ql_2
195,Kevin Costner,1/18/55,"Lynwood, California, USA","['The Postman', 'Dances with Wolves', 'Robin Hood: Prince of Thieves', 'The Bodyguard']",56,57,https://www.imdb.com/name/nm0000126/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000126/awards?ref_=nm_ql_2
196,Jon Favreau,10/19/66,"Queens, New York City, New York, USA","['Chef', 'Swingers', 'Iron Man', 'Couples Retreat']",6,11,https://www.imdb.com/name/nm0269463/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0269463/awards?ref_=nm_ql_2
197,Sam Claflin,6/27/86,"Ipswich, Suffolk, England, UK","['The Hunger Games: Catching Fire', 'Me Before You', 'Snow White and the Huntsman', 'Adrift']",2,12,https://www.imdb.com/name/nm3510471/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3510471/awards?ref_=nm_ql_2
198,James Marsden,9/18/73,"Stillwater, Oklahoma, USA","['Hairspray', 'X-Men', 'Enchanted', '27 Dresses']",6,12,https://www.imdb.com/name/nm0005188/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005188/awards?ref_=nm_ql_2
199,Zoey Deutch,11/10/94,"Los Angeles, California, USA","['Set It Up', 'Before I Fall', 'Flower', 'Everybody Wants Some!!']",1,2,https://www.imdb.com/name/nm3614913/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3614913/awards?ref_=nm_ql_2
200,Seth MacFarlane,10/26/73,"Kent, Connecticut, USA","['Family Guy', 'American Dad!', 'Ted', 'A Million Ways to Die in the West']",22,57,https://www.imdb.com/name/nm0532235/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0532235/awards?ref_=nm_ql_2
201,Nina Hoss,7/7/75,"Stuttgart, Baden-Württemberg, Germany","['Phoenix', 'A Most Wanted Man', 'Barbara', 'Yella']",17,19,https://www.imdb.com/name/nm0396125/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0396125/awards?ref_=nm_ql_2
202,Christina Hendricks,5/3/75,"Knoxville, Tennessee, USA","['Ginger & Rosa', 'The Neon Demon', 'Mad Men', 'Lost River']",13,29,https://www.imdb.com/name/nm0376716/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0376716/awards?ref_=nm_ql_2
203,Dan Stevens,10/10/82,"Croydon, Surrey, England, UK","['Downton Abbey', 'The Guest', 'Beauty and the Beast']",4,16,https://www.imdb.com/name/nm1405398/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1405398/awards?ref_=nm_ql_2
204,Kaitlyn Dever,12/21/96,"Phoenix, Arizona, USA","['Booksmart', 'Short Term 12', 'Justified', 'Men, Women & Children']",1,6,https://www.imdb.com/name/nm3239803/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3239803/awards?ref_=nm_ql_2
205,Alex Essoe,NA,NA,"['Starry Eyes', 'Red Island', 'Midnighters', 'Free to Go']",5,5,https://www.imdb.com/name/nm3012273/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3012273/awards?ref_=nm_ql_2
206,Frank Grillo,6/8/65,"New York City, New York, USA","['The Grey', 'The Purge: Anarchy', 'Captain America: The Winter Soldier', 'Captain America: Civil War']",0,2,https://www.imdb.com/name/nm0342029/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0342029/awards?ref_=nm_ql_2
207,Britt Robertson,4/18/90,"Charlotte, North Carolina, USA","['Tomorrowland', 'The First Time', 'Ask Me Anything', 'The Space Between Us']",3,4,https://www.imdb.com/name/nm1429380/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1429380/awards?ref_=nm_ql_2
208,Aomi Muyock,NA,NA,"['Love', 'Jessica Forever', 'Scenario', 'Le grand journal de Canal+']",NA,NA,https://www.imdb.com/name/nm7312806/?ref_=adv_li_st_0,https://www.imdb.com/name/nm7312806/awards?ref_=nm_ql_2
209,Samuel L. Jackson,12/21/48,"Washington, District of Columbia, USA","['Pulp Fiction', 'The Hateful Eight', 'Snakes on a Plane', 'Jackie Brown']",37,84,https://www.imdb.com/name/nm0000168/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000168/awards?ref_=nm_ql_2
210,Dakota Johnson,10/4/89,"Austin, Texas, USA","['Fifty Shades of Grey', 'The Social Network', 'Fifty Shades Freed', 'Fifty Shades Darker']",10,13,https://www.imdb.com/name/nm0424848/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0424848/awards?ref_=nm_ql_2
211,Emily Blunt,2/23/83,"Roehampton, London, England, UK","['Edge of Tomorrow', 'The Devil Wears Prada', 'The Adjustment Bureau', 'Salmon Fishing in the Yemen']",22,90,https://www.imdb.com/name/nm1289434/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1289434/awards?ref_=nm_ql_2
212,Lily James,4/5/89,"Esher, Surrey, England, UK","['Cinderella', 'Pride and Prejudice and Zombies', 'Baby Driver', 'Mamma Mia! Here We Go Again']",4,5,https://www.imdb.com/name/nm4141252/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4141252/awards?ref_=nm_ql_2
213,Anya Taylor-Joy,4/16/96,"Miami, Florida, USA","['The VVitch: A New-England Folktale', 'Morgan', 'Split', 'Glass']",10,14,https://www.imdb.com/name/nm5896355/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5896355/awards?ref_=nm_ql_2
214,Kurt Russell,3/17/51,"Springfield, Massachusetts, USA","['The Hateful Eight', 'Escape from L.A.', 'Executive Decision', 'Tango & Cash']",6,13,https://www.imdb.com/name/nm0000621/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000621/awards?ref_=nm_ql_2
215,Daisy Ridley,4/10/92,"London, England, UK","['Star Wars: Episode VII - The Force Awakens', 'Star Wars: Episode VIII - The Last Jedi', 'Murder on the Orient Express', 'Chaos Walking']",8,24,https://www.imdb.com/name/nm5397459/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5397459/awards?ref_=nm_ql_2
216,Michael B. Jordan,2/9/87,"Santa Ana, California, USA","['Black Panther', 'Creed', 'Fruitvale Station', 'Fantastic Four']",33,65,https://www.imdb.com/name/nm0430107/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0430107/awards?ref_=nm_ql_2
217,Blake Lively,8/25/87,"Tarzana, Los Angeles, California, USA","['Gossip Girl', 'The Age of Adaline', 'The Town', 'The Shallows']",8,21,https://www.imdb.com/name/nm0515116/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0515116/awards?ref_=nm_ql_2
218,Amy Poehler,9/16/71,"Burlington, Massachusetts, USA","['Inside Out', 'Baby Mama', 'Saturday Night Live', 'Parks and Recreation']",27,79,https://www.imdb.com/name/nm0688132/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0688132/awards?ref_=nm_ql_2
219,Ed Helms,1/24/74,"Atlanta, Georgia, USA","['The Hangover', 'The Office', 'Vacation', 'The Daily Show']",6,11,https://www.imdb.com/name/nm1159180/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1159180/awards?ref_=nm_ql_2
220,Mark Ruffalo,11/22/67,"Kenosha, Wisconsin, USA","['The Avengers', 'The Kids Are All Right', 'Spotlight', 'Foxcatcher']",29,113,https://www.imdb.com/name/nm0749263/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0749263/awards?ref_=nm_ql_2
221,Logan Marshall-Green,11/1/76,"Charleston, South Carolina, USA","['The Invitation', 'Upgrade', 'Prometheus', 'Spider-Man: Homecoming']",0,5,https://www.imdb.com/name/nm1334869/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1334869/awards?ref_=nm_ql_2
222,Olivia DeJonge,4/30/98,"Melbourne, Australia","['The Visit', 'The Sisterhood of Night', 'Better Watch Out', 'Will']",1,4,https://www.imdb.com/name/nm4609822/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4609822/awards?ref_=nm_ql_2
223,Jason Clarke,7/17/69,"Winton, Queensland, Australia","['Zero Dark Thirty', 'Mudbound', 'Everest', 'Terminator Genisys']",3,8,https://www.imdb.com/name/nm0164809/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0164809/awards?ref_=nm_ql_2
