	movie	year	runtime	genre	imdb	metascore	votes	gross	director	dr_link	star1	st1_link	star2	st2_link
83	This Is Where I Leave You	(2014)	103 min	"
Comedy, Drama            "	6.6	44	64787	$34.29M	Shawn Levy	/name/nm0506613/?ref_=adv_li_dr_0	Jason Bateman	/name/nm0000867/?ref_=adv_li_st_0	Tina Fey	/name/nm0275486/?ref_=adv_li_st_1
84	Phoenix	(II) (2014)	98 min	"
Drama, History, Music            "	7.3	89	14442	NA	Christian Petzold	/name/nm0678857/?ref_=adv_li_dr_0	Nina Hoss	/name/nm0396125/?ref_=adv_li_st_0	Ronald Zehrfeld	/name/nm1665537/?ref_=adv_li_st_1
85	Foxcatcher	(2014)	134 min	"
Biography, Drama, Sport            "	7.0	81	125309	$12.10M	Bennett Miller	/name/nm0587955/?ref_=adv_li_dr_0	Steve Carell	/name/nm0136797/?ref_=adv_li_st_0	Channing Tatum	/name/nm1475594/?ref_=adv_li_st_1
86	Lost River	(2014)	95 min	"
Drama, Fantasy, Mystery            "	5.8	42	15470	$0.04M	Ryan Gosling	/name/nm0331516/?ref_=adv_li_dr_0	Christina Hendricks	/name/nm0376716/?ref_=adv_li_st_0	Iain De Caestecker	/name/nm0207691/?ref_=adv_li_st_1
87	The Captive	(2014)	112 min	"
Crime, Drama, Mystery            "	5.9	36	26641	NA	Atom Egoyan	/name/nm0000382/?ref_=adv_li_dr_0	Ryan Reynolds	/name/nm0005351/?ref_=adv_li_st_0	Scott Speedman	/name/nm0005454/?ref_=adv_li_st_1
88	Dumb and Dumber To	(2014)	109 min	"
Adventure, Comedy            "	5.6	36	117597	$86.21M	Bobby Farrelly	/name/nm0268370/?ref_=adv_li_dr_0	Jim Carrey	/name/nm0000120/?ref_=adv_li_st_0	Jeff Daniels	/name/nm0001099/?ref_=adv_li_st_1
89	The Hundred-Foot Journey	(2014)	122 min	"
Comedy, Drama            "	7.3	55	68783	$54.24M	Lasse Hallström	/name/nm0002120/?ref_=adv_li_dr_0	Helen Mirren	/name/nm0000545/?ref_=adv_li_st_0	Om Puri	/name/nm0700875/?ref_=adv_li_st_1
90	The Guest	(I) (2014)	100 min	"
Action, Crime, Horror            "	6.7	76	81420	$0.32M	Adam Wingard	/name/nm1417392/?ref_=adv_li_dr_0	Dan Stevens	/name/nm1405398/?ref_=adv_li_st_0	Sheila Kelley	/name/nm0445992/?ref_=adv_li_st_1
91	Men, Women & Children	(2014)	119 min	"
Comedy, Drama            "	6.7	38	27911	$0.46M	Jason Reitman	/name/nm0718646/?ref_=adv_li_dr_0	Kaitlyn Dever	/name/nm3239803/?ref_=adv_li_st_0	Rosemarie DeWitt	/name/nm1679669/?ref_=adv_li_st_1
92	The Voices	(2014)	103 min	"
Comedy, Crime, Horror            "	6.4	58	47769	NA	Marjane Satrapi	/name/nm2277869/?ref_=adv_li_dr_0	Ryan Reynolds	/name/nm0005351/?ref_=adv_li_st_0	Gemma Arterton	/name/nm2605345/?ref_=adv_li_st_1
93	Before We Go	(I) (2014)	95 min	"
Comedy, Drama, Romance            "	6.8	31	44236	$0.04M	Chris Evans	/name/nm0262635/?ref_=adv_li_dr_0	Chris Evans	/name/nm0262635/?ref_=adv_li_st_0	Alice Eve	/name/nm1404408/?ref_=adv_li_st_1
94	If I Stay	(2014)	107 min	"
Drama, Fantasy, Music            "	6.8	46	106614	$50.47M	R.J. Cutler	/name/nm0191712/?ref_=adv_li_dr_0	Chloë Grace Moretz	/name/nm1631269/?ref_=adv_li_st_0	Mireille Enos	/name/nm0257969/?ref_=adv_li_st_1
95	Starry Eyes	(2014)	98 min	"
Drama, Fantasy, Horror            "	6.0	49	15717	NA	Kevin Kölsch	/name/nm1556116/?ref_=adv_li_dr_0	Alex Essoe	/name/nm3012273/?ref_=adv_li_st_0	Amanda Fuller	/name/nm0298168/?ref_=adv_li_st_1
96	The Purge: Anarchy	(2014)	103 min	"
Action, Horror, Sci-Fi            "	6.5	50	125073	$71.96M	James DeMonaco	/name/nm0218621/?ref_=adv_li_dr_0	Frank Grillo	/name/nm0342029/?ref_=adv_li_st_0	Carmen Ejogo	/name/nm0252238/?ref_=adv_li_st_1
97	The Monuments Men	(2014)	118 min	"
Comedy, Drama, History            "	6.1	52	116943	$78.03M	George Clooney	/name/nm0000123/?ref_=adv_li_dr_0	George Clooney	/name/nm0000123/?ref_=adv_li_st_0	Matt Damon	/name/nm0000354/?ref_=adv_li_st_1
98	Ask Me Anything	(2014)	100 min	"
Drama            "	6.1	NA	10616	NA	Allison Burnett	/name/nm0122335/?ref_=adv_li_dr_0	Britt Robertson	/name/nm1429380/?ref_=adv_li_st_0	Molly Hagan	/name/nm0353243/?ref_=adv_li_st_1
99	Exodus: Gods and Kings	(2014)	150 min	"
Action, Adventure, Drama            "	6.0	52	149915	$65.01M	Ridley Scott	/name/nm0000631/?ref_=adv_li_dr_0	Christian Bale	/name/nm0000288/?ref_=adv_li_st_0	Joel Edgerton	/name/nm0249291/?ref_=adv_li_st_1
	movie	year	runtime	genre	imdb	metascore	votes	gross	director	dr_link	star1	st1_link	star2	st2_link
0	Love	(II) (2015)	135 min	"
Drama, Romance            "	6.0	51	35849	NA	Gaspar Noé	/name/nm0637615/?ref_=adv_li_dr_0	Aomi Muyock	/name/nm7312806/?ref_=adv_li_st_0	Karl Glusman	/name/nm3194762/?ref_=adv_li_st_1
1	Avengers: Age of Ultron	(2015)	141 min	"
Action, Adventure, Sci-Fi            "	7.3	66	641923	$459.01M	Joss Whedon	/name/nm0923736/?ref_=adv_li_dr_0	Robert Downey Jr.	/name/nm0000375/?ref_=adv_li_st_0	Chris Evans	/name/nm0262635/?ref_=adv_li_st_1
2	Room	(I) (2015)	118 min	"
Drama, Thriller            "	8.2	86	310873	$14.68M	Lenny Abrahamson	/name/nm1049433/?ref_=adv_li_dr_0	Brie Larson	/name/nm0488953/?ref_=adv_li_st_0	Jacob Tremblay	/name/nm5016878/?ref_=adv_li_st_1
3	Mad Max: Fury Road	(2015)	120 min	"
Action, Adventure, Sci-Fi            "	8.1	90	770414	$154.06M	George Miller	/name/nm0004306/?ref_=adv_li_dr_0	Tom Hardy	/name/nm0362766/?ref_=adv_li_st_0	Charlize Theron	/name/nm0000234/?ref_=adv_li_st_1
4	The Hateful Eight	(2015)	187 min	"
Crime, Drama, Mystery            "	7.8	68	426904	$54.12M	Quentin Tarantino	/name/nm0000233/?ref_=adv_li_dr_0	Samuel L. Jackson	/name/nm0000168/?ref_=adv_li_st_0	Kurt Russell	/name/nm0000621/?ref_=adv_li_st_1
5	Ant-Man	(2015)	117 min	"
Action, Adventure, Comedy            "	7.3	64	484603	$180.20M	Peyton Reed	/name/nm0715636/?ref_=adv_li_dr_0	Paul Rudd	/name/nm0748620/?ref_=adv_li_st_0	Michael Douglas	/name/nm0000140/?ref_=adv_li_st_1
6	Fifty Shades of Grey	(2015)	125 min	"
Drama, Romance, Thriller            "	4.1	46	276735	$166.17M	Sam Taylor-Johnson	/name/nm0853374/?ref_=adv_li_dr_0	Dakota Johnson	/name/nm0424848/?ref_=adv_li_st_0	Jamie Dornan	/name/nm1946193/?ref_=adv_li_st_1
7	Terminator Genisys	(2015)	126 min	"
Action, Adventure, Sci-Fi            "	6.4	38	231606	$89.76M	Alan Taylor	/name/nm0851930/?ref_=adv_li_dr_0	Arnold Schwarzenegger	/name/nm0000216/?ref_=adv_li_st_0	Jason Clarke	/name/nm0164809/?ref_=adv_li_st_1
8	The Revenant	(2015)	156 min	"
Action, Adventure, Biography            "	8.0	76	611440	$183.64M	Alejandro G. Iñárritu	/name/nm0327944/?ref_=adv_li_dr_0	Leonardo DiCaprio	/name/nm0000138/?ref_=adv_li_st_0	Tom Hardy	/name/nm0362766/?ref_=adv_li_st_1
9	Sicario	(2015)	121 min	"
Action, Crime, Drama            "	7.6	82	324251	$46.89M	Denis Villeneuve	/name/nm0898288/?ref_=adv_li_dr_0	Emily Blunt	/name/nm1289434/?ref_=adv_li_st_0	Josh Brolin	/name/nm0000982/?ref_=adv_li_st_1
10	The Big Short	(2015)	130 min	"
Biography, Comedy, Drama            "	7.8	81	304948	$70.26M	Adam McKay	/name/nm0570912/?ref_=adv_li_dr_0	Christian Bale	/name/nm0000288/?ref_=adv_li_st_0	Steve Carell	/name/nm0136797/?ref_=adv_li_st_1
11	Jurassic World	(2015)	124 min	"
Action, Adventure, Sci-Fi            "	7.0	59	533773	$652.27M	Colin Trevorrow	/name/nm1119880/?ref_=adv_li_dr_0	Chris Pratt	/name/nm0695435/?ref_=adv_li_st_0	Bryce Dallas Howard	/name/nm0397171/?ref_=adv_li_st_1
12	Legend	(I) (2015)	132 min	"
Biography, Crime, Drama            "	7.0	55	137264	$1.87M	Brian Helgeland	/name/nm0001338/?ref_=adv_li_dr_0	Tom Hardy	/name/nm0362766/?ref_=adv_li_st_0	Emily Browning	/name/nm0115161/?ref_=adv_li_st_1
13	Cinderella	(I) (2015)	105 min	"
Drama, Family, Fantasy            "	6.9	67	140539	$201.15M	Kenneth Branagh	/name/nm0000110/?ref_=adv_li_dr_0	Lily James	/name/nm4141252/?ref_=adv_li_st_0	Cate Blanchett	/name/nm0000949/?ref_=adv_li_st_1
14	The Lobster	(2015)	119 min	"
Comedy, Drama, Romance            "	7.1	82	179039	$8.70M	Yorgos Lanthimos	/name/nm0487166/?ref_=adv_li_dr_0	Colin Farrell	/name/nm0268199/?ref_=adv_li_st_0	Rachel Weisz	/name/nm0001838/?ref_=adv_li_st_1
15	Furious 7	(2015)	137 min	"
Action, Crime, Thriller            "	7.2	67	332595	$353.01M	James Wan	/name/nm1490123/?ref_=adv_li_dr_0	Vin Diesel	/name/nm0004874/?ref_=adv_li_st_0	Paul Walker	/name/nm0908094/?ref_=adv_li_st_1
16	The VVitch: A New-England Folktale	(2015)	92 min	"
Horror, Mystery            "	6.8	83	150545	$25.14M	Robert Eggers	/name/nm3211470/?ref_=adv_li_dr_0	Anya Taylor-Joy	/name/nm5896355/?ref_=adv_li_st_0	Ralph Ineson	/name/nm0408591/?ref_=adv_li_st_1
17	Knock Knock	(I) (2015)	99 min	"
Drama, Thriller            "	4.9	53	67187	$0.04M	Eli Roth	/name/nm0744834/?ref_=adv_li_dr_0	Keanu Reeves	/name/nm0000206/?ref_=adv_li_st_0	Lorenza Izzo	/name/nm4448022/?ref_=adv_li_st_1
18	The Martian	(2015)	144 min	"
Adventure, Drama, Sci-Fi            "	8.0	80	670370	$228.43M	Ridley Scott	/name/nm0000631/?ref_=adv_li_dr_0	Matt Damon	/name/nm0000354/?ref_=adv_li_st_0	Jessica Chastain	/name/nm1567113/?ref_=adv_li_st_1
19	Bone Tomahawk	(2015)	132 min	"
Adventure, Drama, Horror            "	7.1	72	68153	NA	S. Craig Zahler	/name/nm0951975/?ref_=adv_li_dr_0	Kurt Russell	/name/nm0000621/?ref_=adv_li_st_0	Patrick Wilson	/name/nm0933940/?ref_=adv_li_st_1
20	Jupiter Ascending	(2015)	127 min	"
Action, Adventure, Sci-Fi            "	5.3	40	165236	$47.39M	Lana Wachowski	/name/nm0905154/?ref_=adv_li_dr_0	Channing Tatum	/name/nm1475594/?ref_=adv_li_st_0	Mila Kunis	/name/nm0005109/?ref_=adv_li_st_1
21	Spectre	(I) (2015)	148 min	"
Action, Adventure, Thriller            "	6.8	60	349544	$200.07M	Sam Mendes	/name/nm0005222/?ref_=adv_li_dr_0	Daniel Craig	/name/nm0185819/?ref_=adv_li_st_0	Christoph Waltz	/name/nm0910607/?ref_=adv_li_st_1
22	Star Wars: Episode VII - The Force Awakens	(2015)	136 min	"
Action, Adventure, Fantasy            "	8.0	81	777236	$936.66M	J.J. Abrams	/name/nm0009190/?ref_=adv_li_dr_0	Daisy Ridley	/name/nm5397459/?ref_=adv_li_st_0	John Boyega	/name/nm3915784/?ref_=adv_li_st_1
23	Creed	(2015)	133 min	"
Drama, Sport            "	7.6	82	221285	$109.77M	Ryan Coogler	/name/nm3363032/?ref_=adv_li_dr_0	Michael B. Jordan	/name/nm0430107/?ref_=adv_li_st_0	Sylvester Stallone	/name/nm0000230/?ref_=adv_li_st_1
24	The Man from U.N.C.L.E.	(2015)	116 min	"
Action, Adventure, Comedy            "	7.3	56	238101	$45.45M	Guy Ritchie	/name/nm0005363/?ref_=adv_li_dr_0	Henry Cavill	/name/nm0147147/?ref_=adv_li_st_0	Armie Hammer	/name/nm2309517/?ref_=adv_li_st_1
25	The Intern	(I) (2015)	121 min	"
Comedy, Drama            "	7.1	51	189674	$75.76M	Nancy Meyers	/name/nm0583600/?ref_=adv_li_dr_0	Robert De Niro	/name/nm0000134/?ref_=adv_li_st_0	Anne Hathaway	/name/nm0004266/?ref_=adv_li_st_1
26	The Age of Adaline	(2015)	112 min	"
Drama, Fantasy, Romance            "	7.2	51	137447	$42.48M	Lee Toland Krieger	/name/nm1767218/?ref_=adv_li_dr_0	Blake Lively	/name/nm0515116/?ref_=adv_li_st_0	Michiel Huisman	/name/nm0401264/?ref_=adv_li_st_1
27	Inside Out	(I) (2015)	95 min	"
Animation, Adventure, Comedy            "	8.2	94	527709	$356.46M	Pete Docter	/name/nm0230032/?ref_=adv_li_dr_0	Amy Poehler	/name/nm0688132/?ref_=adv_li_st_0	Bill Hader	/name/nm0352778/?ref_=adv_li_st_1
28	Vacation	(I) (2015)	99 min	"
Adventure, Comedy            "	6.1	34	86711	$58.88M	John Francis Daley	/name/nm0197855/?ref_=adv_li_dr_0	Ed Helms	/name/nm1159180/?ref_=adv_li_st_0	Christina Applegate	/name/nm0000775/?ref_=adv_li_st_1
29	The Danish Girl	(2015)	119 min	"
Biography, Drama, Romance            "	7.1	66	145300	$12.71M	Tom Hooper	/name/nm0393799/?ref_=adv_li_dr_0	Eddie Redmayne	/name/nm1519666/?ref_=adv_li_st_0	Alicia Vikander	/name/nm2539953/?ref_=adv_li_st_1
30	Spotlight	(I) (2015)	129 min	"
Crime, Drama            "	8.1	93	359725	$45.06M	Tom McCarthy	/name/nm0565336/?ref_=adv_li_dr_0	Mark Ruffalo	/name/nm0749263/?ref_=adv_li_st_0	Michael Keaton	/name/nm0000474/?ref_=adv_li_st_1
31	The Invitation	(I) (2015)	100 min	"
Drama, Horror, Mystery            "	6.7	74	68222	$0.23M	Karyn Kusama	/name/nm0476201/?ref_=adv_li_dr_0	Logan Marshall-Green	/name/nm1334869/?ref_=adv_li_st_0	Emayatzy Corinealdi	/name/nm1538675/?ref_=adv_li_st_1
32	Crimson Peak	(2015)	119 min	"
Drama, Fantasy, Horror            "	6.5	66	118198	$31.06M	Guillermo del Toro	/name/nm0868219/?ref_=adv_li_dr_0	Mia Wasikowska	/name/nm1985859/?ref_=adv_li_st_0	Jessica Chastain	/name/nm1567113/?ref_=adv_li_st_1
33	Mission: Impossible - Rogue Nation	(2015)	131 min	"
Action, Adventure, Thriller            "	7.4	75	308223	$195.04M	Christopher McQuarrie	/name/nm0003160/?ref_=adv_li_dr_0	Tom Cruise	/name/nm0000129/?ref_=adv_li_st_0	Rebecca Ferguson	/name/nm0272581/?ref_=adv_li_st_1
34	The Visit	(I) (2015)	94 min	"
Comedy, Horror, Mystery            "	6.2	55	101254	$65.21M	M. Night Shyamalan	/name/nm0796117/?ref_=adv_li_dr_0	Olivia DeJonge	/name/nm4609822/?ref_=adv_li_st_0	Ed Oxenbould	/name/nm4590837/?ref_=adv_li_st_1
35	Fantastic Four	(2015)	100 min	"
Action, Adventure, Drama            "	4.3	27	138839	$56.12M	Josh Trank	/name/nm2503633/?ref_=adv_li_dr_0	Miles Teller	/name/nm1886602/?ref_=adv_li_st_0	Kate Mara	/name/nm0544718/?ref_=adv_li_st_1
36	Everest	(2015)	121 min	"
Action, Adventure, Biography            "	7.1	64	179761	$43.48M	Baltasar Kormákur	/name/nm0466349/?ref_=adv_li_dr_0	Jason Clarke	/name/nm0164809/?ref_=adv_li_st_0	Ang Phula Sherpa	/name/nm7583273/?ref_=adv_li_st_1
37	The Ridiculous 6	(2015)	119 min	"
Comedy, Western            "	4.8	18	38173	NA	Frank Coraci	/name/nm0178997/?ref_=adv_li_dr_0	Adam Sandler	/name/nm0001191/?ref_=adv_li_st_0	Terry Crews	/name/nm0187719/?ref_=adv_li_st_1
38	Focus	(II) (2015)	105 min	"
Comedy, Crime, Drama            "	6.6	56	190434	$53.86M	Glenn Ficarra	/name/nm0275629/?ref_=adv_li_dr_0	Will Smith	/name/nm0000226/?ref_=adv_li_st_0	Margot Robbie	/name/nm3053338/?ref_=adv_li_st_1
39	The Hunger Games: Mockingjay - Part 2	(2015)	137 min	"
Action, Adventure, Sci-Fi            "	6.6	65	248486	$281.72M	Francis Lawrence	/name/nm1349376/?ref_=adv_li_dr_0	Jennifer Lawrence	/name/nm2225369/?ref_=adv_li_st_0	Josh Hutcherson	/name/nm1242688/?ref_=adv_li_st_1
40	Green Room	(2015)	95 min	"
Horror, Music, Thriller            "	7.0	79	89071	$3.22M	Jeremy Saulnier	/name/nm1099918/?ref_=adv_li_dr_0	Anton Yelchin	/name/nm0947338/?ref_=adv_li_st_0	Imogen Poots	/name/nm1782299/?ref_=adv_li_st_1
41	Trainwreck	(2015)	125 min	"
Comedy, Drama, Romance            "	6.2	75	120982	$110.21M	Judd Apatow	/name/nm0031976/?ref_=adv_li_dr_0	Amy Schumer	/name/nm2154960/?ref_=adv_li_st_0	Bill Hader	/name/nm0352778/?ref_=adv_li_st_1
42	The Sand	(2015)	84 min	"
Comedy, Horror, Sci-Fi            "	3.8	NA	2827	NA	Isaac Gabaeff	/name/nm2028380/?ref_=adv_li_dr_0	Brooke Butler	/name/nm4703551/?ref_=adv_li_st_0	Cleo Berry	/name/nm3075157/?ref_=adv_li_st_1
43	Pan	(2015)	111 min	"
Adventure, Comedy, Family            "	5.8	36	55433	$35.09M	Joe Wright	/name/nm0942504/?ref_=adv_li_dr_0	Levi Miller	/name/nm5920962/?ref_=adv_li_st_0	Hugh Jackman	/name/nm0413168/?ref_=adv_li_st_1
44	Carol	(2015)	118 min	"
Drama, Romance            "	7.2	95	99364	$12.71M	Todd Haynes	/name/nm0001331/?ref_=adv_li_dr_0	Cate Blanchett	/name/nm0000949/?ref_=adv_li_st_0	Rooney Mara	/name/nm1913734/?ref_=adv_li_st_1
45	Brooklyn	(2015)	117 min	"
Drama, Romance            "	7.5	88	115884	$38.32M	John Crowley	/name/nm1259871/?ref_=adv_li_dr_0	Saoirse Ronan	/name/nm1519680/?ref_=adv_li_st_0	Emory Cohen	/name/nm1710309/?ref_=adv_li_st_1
46	Straight Outta Compton	(2015)	147 min	"
Biography, Drama, History            "	7.9	72	163915	$161.20M	F. Gary Gray	/name/nm0336620/?ref_=adv_li_dr_0	O'Shea Jackson Jr.	/name/nm6578009/?ref_=adv_li_st_0	Corey Hawkins	/name/nm3659660/?ref_=adv_li_st_1
47	The Last Witch Hunter	(2015)	106 min	"
Action, Adventure, Fantasy            "	6.0	34	85095	$27.37M	Breck Eisner	/name/nm0252135/?ref_=adv_li_dr_0	Vin Diesel	/name/nm0004874/?ref_=adv_li_st_0	Rose Leslie	/name/nm3310211/?ref_=adv_li_st_1
48	Pitch Perfect 2	(2015)	115 min	"
Comedy, Music            "	6.4	63	129397	$184.30M	Elizabeth Banks	/name/nm0006969/?ref_=adv_li_dr_0	Anna Kendrick	/name/nm0447695/?ref_=adv_li_st_0	Rebel Wilson	/name/nm2313103/?ref_=adv_li_st_1
49	Trumbo	(2015)	124 min	"
Biography, Drama            "	7.5	60	68183	$7.86M	Jay Roach	/name/nm0005366/?ref_=adv_li_dr_0	Bryan Cranston	/name/nm0186505/?ref_=adv_li_st_0	Diane Lane	/name/nm0000178/?ref_=adv_li_st_1
50	In the Heart of the Sea	(2015)	122 min	"
Action, Adventure, Biography            "	6.9	47	107440	$25.02M	Ron Howard	/name/nm0000165/?ref_=adv_li_dr_0	Chris Hemsworth	/name/nm1165110/?ref_=adv_li_st_0	Cillian Murphy	/name/nm0614165/?ref_=adv_li_st_1
51	Insurgent	(2015)	119 min	"
Action, Adventure, Sci-Fi            "	6.2	42	197734	$130.18M	Robert Schwentke	/name/nm0777881/?ref_=adv_li_dr_0	Shailene Woodley	/name/nm0940362/?ref_=adv_li_st_0	Ansel Elgort	/name/nm5052065/?ref_=adv_li_st_1
52	Chappie	(2015)	120 min	"
Action, Crime, Drama            "	6.8	41	212097	$31.57M	Neill Blomkamp	/name/nm0088955/?ref_=adv_li_dr_0	Sharlto Copley	/name/nm1663205/?ref_=adv_li_st_0	Dev Patel	/name/nm2353862/?ref_=adv_li_st_1
53	Spy	(2015)	119 min	"
Action, Comedy, Crime            "	7.0	75	212433	$110.83M	Paul Feig	/name/nm0082450/?ref_=adv_li_dr_0	Melissa McCarthy	/name/nm0565250/?ref_=adv_li_st_0	Rose Byrne	/name/nm0126284/?ref_=adv_li_st_1
54	Southpaw	(2015)	124 min	"
Drama, Sport            "	7.4	57	198124	$52.42M	Antoine Fuqua	/name/nm0298807/?ref_=adv_li_dr_0	Jake Gyllenhaal	/name/nm0350453/?ref_=adv_li_st_0	Rachel McAdams	/name/nm1046097/?ref_=adv_li_st_1
55	Tomorrowland	(2015)	130 min	"
Action, Adventure, Family            "	6.4	60	160377	$93.44M	Brad Bird	/name/nm0083348/?ref_=adv_li_dr_0	George Clooney	/name/nm0000123/?ref_=adv_li_st_0	Britt Robertson	/name/nm1429380/?ref_=adv_li_st_1
56	Aloha	(I) (2015)	105 min	"
Comedy, Drama, Romance            "	5.4	40	53849	$20.99M	Cameron Crowe	/name/nm0001081/?ref_=adv_li_dr_0	Bradley Cooper	/name/nm0177896/?ref_=adv_li_st_0	Rachel McAdams	/name/nm1046097/?ref_=adv_li_st_1
57	San Andreas	(2015)	114 min	"
Action, Adventure, Drama            "	6.1	43	190614	$155.19M	Brad Peyton	/name/nm0679031/?ref_=adv_li_dr_0	Dwayne Johnson	/name/nm0425005/?ref_=adv_li_st_0	Carla Gugino	/name/nm0001303/?ref_=adv_li_st_1
58	Mustang	(2015)	97 min	"
Drama            "	7.6	83	30416	$0.85M	Deniz Gamze Ergüven	/name/nm2197025/?ref_=adv_li_dr_0	Günes Sensoy	/name/nm7322143/?ref_=adv_li_st_0	Doga Zeynep Doguslu	/name/nm7322144/?ref_=adv_li_st_1
59	Minions	(2015)	91 min	"
Animation, Action, Adventure            "	6.4	56	191639	$336.05M	Kyle Balda	/name/nm0049633/?ref_=adv_li_dr_0	Sandra Bullock	/name/nm0000113/?ref_=adv_li_st_0	Jon Hamm	/name/nm0358316/?ref_=adv_li_st_1
60	The Dressmaker	(I) (2015)	119 min	"
Comedy, Drama            "	7.1	47	46205	$2.02M	Jocelyn Moorhouse	/name/nm0602104/?ref_=adv_li_dr_0	Kate Winslet	/name/nm0000701/?ref_=adv_li_st_0	Judy Davis	/name/nm0001114/?ref_=adv_li_st_1
61	The Stanford Prison Experiment	(2015)	122 min	"
Biography, Drama, History            "	6.9	67	32158	$0.64M	Kyle Patrick Alvarez	/name/nm1547859/?ref_=adv_li_dr_0	Ezra Miller	/name/nm3009232/?ref_=adv_li_st_0	Tye Sheridan	/name/nm4446467/?ref_=adv_li_st_1
62	The Boy Next Door	(2015)	91 min	"
Drama, Horror, Romance            "	4.7	30	34507	$35.39M	Rob Cohen	/name/nm0003418/?ref_=adv_li_dr_0	Jennifer Lopez	/name/nm0000182/?ref_=adv_li_st_0	Ryan Guzman	/name/nm4554428/?ref_=adv_li_st_1
63	The Duff	(2015)	101 min	"
Comedy, Romance            "	6.5	56	73266	$34.02M	Ari Sandel	/name/nm1847738/?ref_=adv_li_dr_0	Mae Whitman	/name/nm0926165/?ref_=adv_li_st_0	Bella Thorne	/name/nm2254074/?ref_=adv_li_st_1
64	Magic Mike XXL	(2015)	115 min	"
Comedy, Drama, Music            "	5.6	60	48152	$66.01M	Gregory Jacobs	/name/nm0414423/?ref_=adv_li_dr_0	Channing Tatum	/name/nm1475594/?ref_=adv_li_st_0	Joe Manganiello	/name/nm0542133/?ref_=adv_li_st_1
65	Burnt	(I) (2015)	101 min	"
Comedy, Drama            "	6.6	42	94729	$13.65M	John Wells	/name/nm0920274/?ref_=adv_li_dr_0	Bradley Cooper	/name/nm0177896/?ref_=adv_li_st_0	Sienna Miller	/name/nm1092227/?ref_=adv_li_st_1
66	Joy	(I) (2015)	124 min	"
Drama            "	6.6	56	116980	$56.45M	David O. Russell	/name/nm0751102/?ref_=adv_li_dr_0	Jennifer Lawrence	/name/nm2225369/?ref_=adv_li_st_0	Robert De Niro	/name/nm0000134/?ref_=adv_li_st_1
67	Steve Jobs	(2015)	122 min	"
Biography, Drama            "	7.2	82	137499	$17.77M	Danny Boyle	/name/nm0000965/?ref_=adv_li_dr_0	Michael Fassbender	/name/nm1055413/?ref_=adv_li_st_0	Kate Winslet	/name/nm0000701/?ref_=adv_li_st_1
68	Secret in Their Eyes	(2015)	111 min	"
Crime, Drama, Mystery            "	6.3	45	36941	$20.18M	Billy Ray	/name/nm0712753/?ref_=adv_li_dr_0	Chiwetel Ejiofor	/name/nm0252230/?ref_=adv_li_st_0	Nicole Kidman	/name/nm0000173/?ref_=adv_li_st_1
69	Point Break	(2015)	114 min	"
Action, Crime, Sport            "	5.3	34	53310	$28.78M	Ericson Core	/name/nm0179697/?ref_=adv_li_dr_0	Edgar Ramírez	/name/nm1183149/?ref_=adv_li_st_0	Luke Bracey	/name/nm3478396/?ref_=adv_li_st_1
70	Daddy's Home	(2015)	96 min	"
Comedy            "	6.2	42	95635	$150.36M	Sean Anders	/name/nm1890845/?ref_=adv_li_dr_0	Will Ferrell	/name/nm0002071/?ref_=adv_li_st_0	Mark Wahlberg	/name/nm0000242/?ref_=adv_li_st_1
71	True Story	(I) (2015)	99 min	"
Crime, Drama, Mystery            "	6.3	50	50960	$4.72M	Rupert Goold	/name/nm3734458/?ref_=adv_li_dr_0	James Franco	/name/nm0290556/?ref_=adv_li_st_0	Jonah Hill	/name/nm1706767/?ref_=adv_li_st_1
72	Ted 2	(2015)	115 min	"
Comedy            "	6.3	48	163695	$81.48M	Seth MacFarlane	/name/nm0532235/?ref_=adv_li_dr_0	Mark Wahlberg	/name/nm0000242/?ref_=adv_li_st_0	Seth MacFarlane	/name/nm0532235/?ref_=adv_li_st_1
73	Bridge of Spies	(2015)	142 min	"
Drama, History, Thriller            "	7.6	81	260629	$72.31M	Steven Spielberg	/name/nm0000229/?ref_=adv_li_dr_0	Tom Hanks	/name/nm0000158/?ref_=adv_li_st_0	Mark Rylance	/name/nm0753314/?ref_=adv_li_st_1
74	Run All Night	(2015)	114 min	"
Action, Drama, Thriller            "	6.6	59	93405	$26.44M	Jaume Collet-Serra	/name/nm1429471/?ref_=adv_li_dr_0	Liam Neeson	/name/nm0000553/?ref_=adv_li_st_0	Ed Harris	/name/nm0000438/?ref_=adv_li_st_1
75	The Gift	(VI) (2015)	108 min	"
Drama, Mystery, Thriller            "	7.1	77	122560	$43.77M	Joel Edgerton	/name/nm0249291/?ref_=adv_li_dr_0	Jason Bateman	/name/nm0000867/?ref_=adv_li_st_0	Rebecca Hall	/name/nm0356017/?ref_=adv_li_st_1
76	Scouts Guide to the Zombie Apocalypse	(2015)	93 min	"
Action, Comedy, Horror            "	6.3	32	40022	$3.64M	Christopher Landon	/name/nm0484907/?ref_=adv_li_dr_0	Tye Sheridan	/name/nm4446467/?ref_=adv_li_st_0	Logan Miller	/name/nm2383250/?ref_=adv_li_st_1
77	High-Rise	(2015)	119 min	"
Drama, Horror, Sci-Fi            "	5.6	65	33345	$0.34M	Ben Wheatley	/name/nm1296554/?ref_=adv_li_dr_0	Tom Hiddleston	/name/nm1089991/?ref_=adv_li_st_0	Jeremy Irons	/name/nm0000460/?ref_=adv_li_st_1
