	dr_name	dr_date	dr_place	dr_knownfor	dr_awards_wins	dr_awards_nominations	dr_link	dr_awards_link
27	" Sean Anders
"	NA	NA	"[""That's My Boy"", ""Daddy's Home"", 'Instant Family', 'Sex Drive']"	1	1	https://www.imdb.com/name/nm1890845/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1890845/awards?ref_=nm_ql_2
28	" Mark Waters
(VIII)
"	1964-6-30	Wyandotte, Michigan, USA	['(500) Days of Summer', 'Vampire Academy', 'Ghosts of Girlfriends Past', 'The Spiderwick Chronicles']	1	6	https://www.imdb.com/name/nm0914134/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0914134/awards?ref_=nm_ql_2
29	" Bryan Bertino
"	1977-10-17	Crowley, Texas, USA	"['The Strangers', 'The Monster', 'The Strangers: Prey at Night', ""The Blackcoat's Daughter""]"	0	3	https://www.imdb.com/name/nm1052162/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1052162/awards?ref_=nm_ql_2
30	" Rob Cohen
(I)
"	1949-3-12	Cornwall, New York, USA	['DragonHeart', 'Stealth', 'The Mummy: Tomb of the Dragon Emperor', 'The Running Man']	1	3	https://www.imdb.com/name/nm0003418/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0003418/awards?ref_=nm_ql_2
31	" Roland Emmerich
"	1955-11-10	Stuttgart, Baden-Württemberg, Germany	['Independence Day', 'Godzilla', 'The Day After Tomorrow', 'Independence Day: Resurgence']	16	16	https://www.imdb.com/name/nm0000386/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000386/awards?ref_=nm_ql_2
32	" Woody Allen
"	1935-12-1	Brooklyn, New York City, New York, USA	['Manhattan', 'Annie Hall', 'Crimes and Misdemeanors', 'Hannah and Her Sisters']	139	211	https://www.imdb.com/name/nm0000095/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000095/awards?ref_=nm_ql_2
33	" Kevin Smith
(I)
"	1970-8-2	Red Bank, New Jersey, USA	['Clerks', 'Chasing Amy', 'Clerks II', 'Dogma']	13	24	https://www.imdb.com/name/nm0003620/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0003620/awards?ref_=nm_ql_2
34	" Gabriele Muccino
"	1967-5-20	Rome, Lazio, Italy	"['Seven Pounds', 'The Pursuit of Happyness', ""L'ultimo bacio"", 'Fathers & Daughters']"	16	27	https://www.imdb.com/name/nm0610831/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0610831/awards?ref_=nm_ql_2
35	" Guy Ritchie
"	1968-9-10	Hatfield, Hertfordshire, England, UK	['Sherlock Holmes', 'Lock, Stock and Two Smoking Barrels', 'Snatch', 'The Man from U.N.C.L.E.']	8	10	https://www.imdb.com/name/nm0005363/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0005363/awards?ref_=nm_ql_2
36	" Steven Spielberg
"	1946-12-18	Cincinnati, Ohio, USA	"[""Schindler's List"", 'E.T. the Extra-Terrestrial', 'Saving Private Ryan', 'Raiders of the Lost Ark']"	192	199	https://www.imdb.com/name/nm0000229/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000229/awards?ref_=nm_ql_2
37	" Sylvester Stallone
"	1946-7-6	New York City, New York, USA	['Rocky', 'Rocky IV', 'Creed', 'Rocky III']	57	66	https://www.imdb.com/name/nm0000230/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000230/awards?ref_=nm_ql_2
38	" Darren Aronofsky
"	1969-2-12	Brooklyn, New York City, New York, USA	['Pi', 'Requiem for a Dream', 'Mother!', 'The Wrestler']	39	84	https://www.imdb.com/name/nm0004716/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0004716/awards?ref_=nm_ql_2
39	" Mark Osborne
(I)
"	1970-9-17	Trenton, New Jersey, USA	['Kung Fu Panda', 'Le Petit Prince', 'More', 'Dropping Out']	15	9	https://www.imdb.com/name/nm0651706/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0651706/awards?ref_=nm_ql_2
40	" M. Night Shyamalan
"	1970-8-6	Mahé, Pondicherry, India	['Lady in the Water', 'Signs', 'The Village', 'The Sixth Sense']	14	40	https://www.imdb.com/name/nm0796117/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0796117/awards?ref_=nm_ql_2
41	" Oliver Stone
(I)
"	1946-9-15	New York City, New York, USA	['JFK', 'Platoon', 'Alexander', 'Natural Born Killers']	61	55	https://www.imdb.com/name/nm0000231/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000231/awards?ref_=nm_ql_2
42	" Bryan Singer
"	1965-9-17	New York City, New York, USA	['X-Men', 'The Usual Suspects', 'X-Men: Days of Future Past', 'Superman Returns']	18	24	https://www.imdb.com/name/nm0001741/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0001741/awards?ref_=nm_ql_2
43	" Fred Wolf
(II)
"	1964-11-7	New York City, New York, USA	['Little Nicky', 'Grown Ups 2', 'Black Sheep', 'The House Bunny']	0	2	https://www.imdb.com/name/nm0937748/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0937748/awards?ref_=nm_ql_2
44	" John Patrick Shanley
"	1950-10-3	The Bronx, New York City, New York, USA	['Moonstruck', 'Doubt', 'Congo', 'Joe Versus the Volcano']	5	22	https://www.imdb.com/name/nm0788234/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0788234/awards?ref_=nm_ql_2
45	" Doug Liman
"	1965-7-24	New York City, New York, USA	['Edge of Tomorrow', 'Swingers', 'Fair Game', 'The Bourne Identity']	2	7	https://www.imdb.com/name/nm0510731/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0510731/awards?ref_=nm_ql_2
46	" Peter Segal
"	1962-0-0	NA	['Naked Gun 33 1/3: The Final Insult', 'Get Smart', 'Grudge Match', '50 First Dates']	1	4	https://www.imdb.com/name/nm0781842/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0781842/awards?ref_=nm_ql_2
47	" Nicolas Winding Refn
"	1970-9-29	Copenhagen, Denmark	['The Neon Demon', 'Valhalla Rising', 'Only God Forgives', 'Drive']	28	51	https://www.imdb.com/name/nm0716347/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0716347/awards?ref_=nm_ql_2
48	" Charlie Kaufman
(I)
"	1958-11-19	New York City, New York, USA	['Anomalisa', 'Eternal Sunshine of the Spotless Mind', 'Synecdoche, New York', 'Being John Malkovich']	84	73	https://www.imdb.com/name/nm0442109/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0442109/awards?ref_=nm_ql_2
49	" Andrew Adamson
(I)
"	1966-12-1	Auckland, New Zealand	['Shrek 2', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', 'Shrek', 'The Chronicles of Narnia: Prince Caspian']	7	22	https://www.imdb.com/name/nm0011470/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0011470/awards?ref_=nm_ql_2
50	" Robert Luketic
"	1973-11-1	Sydney, New South Wales, Australia	['The Ugly Truth', 'Killers', 'Legally Blonde', '21']	4	0	https://www.imdb.com/name/nm0525659/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0525659/awards?ref_=nm_ql_2
51	" Ethan Coen
"	1957-9-21	Minneapolis, Minnesota, USA	['The Ballad of Buster Scruggs', 'A Serious Man', 'Inside Llewyn Davis', 'Fargo']	113	274	https://www.imdb.com/name/nm0001053/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0001053/awards?ref_=nm_ql_2
52	" Tom Putnam
(I)
"	1972-3-25	Oregon, USA	['Burn', 'Marwencol', 'Broadcast 23', 'Tom Hits His Head']	12	3	https://www.imdb.com/name/nm0701245/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0701245/awards?ref_=nm_ql_2
53	" Jeff Wadlow
"	1976-3-2	USA	['Truth or Dare', 'True Memoirs of an International Assassin', 'Kick-Ass 2', 'Bates Motel']	8	1	https://www.imdb.com/name/nm0905592/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0905592/awards?ref_=nm_ql_2
54	" Roger Donaldson
"	1945-11-15	Ballarat, Australia	"[""The World's Fastest Indian"", 'Species', 'Cocktail', 'No Way Out']"	4	7	https://www.imdb.com/name/nm0002044/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0002044/awards?ref_=nm_ql_2
55	" Peter Berg
(I)
"	1964-3-11	New York City, New York, USA	['Very Bad Things', 'Lone Survivor', 'Chicago Hope', 'Collateral']	3	19	https://www.imdb.com/name/nm0000916/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000916/awards?ref_=nm_ql_2
56	" Peyton Reed
(I)
"	1964-7-3	Raleigh, North Carolina, USA	['Ant-Man', 'Ant-Man and the Wasp', 'Bring It On', 'The Break-Up']	2	4	https://www.imdb.com/name/nm0715636/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0715636/awards?ref_=nm_ql_2
57	" Byron Howard
(I)
"	1968-12-26	Misawa, Japan	['Zootopia', 'Tangled', 'Bolt', 'Brother Bear']	11	12	https://www.imdb.com/name/nm0397174/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0397174/awards?ref_=nm_ql_2
58	" Matt Reeves
(I)
"	1966-4-27	Rockville Center, New York, USA	['Let Me In', 'War for the Planet of the Apes', 'Dawn of the Planet of the Apes', 'Cloverfield']	2	8	https://www.imdb.com/name/nm0716257/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0716257/awards?ref_=nm_ql_2
59	" Anne Fletcher
"	1966-5-1	Detroit, Michigan, USA	['The Proposal', 'Step Up', 'Hairspray', 'The Pacifier']	NA	NA	https://www.imdb.com/name/nm0281945/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0281945/awards?ref_=nm_ql_2
60	" Dennis Dugan
(I)
"	1946-9-5	Wheaton, Illinois, USA	"['Happy Gilmore', ""You Don't Mess with the Zohan"", 'Big Daddy', 'Richie Brockelman, Private Eye']"	1	4	https://www.imdb.com/name/nm0240797/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0240797/awards?ref_=nm_ql_2
61	" Tomas Alfredson
"	1965-4-1	Lidingö, Stockholms län, Sweden	['Let the Right One In', 'Tinker Tailor Soldier Spy', 'Fyra nyanser av brunt', 'The Snowman']	39	29	https://www.imdb.com/name/nm0019247/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0019247/awards?ref_=nm_ql_2
62	" Scott Derrickson
"	1966-7-16	Denver, Colorado, USA	['Doctor Strange', 'Sinister', 'The Day the Earth Stood Still', 'The Exorcism of Emily Rose']	1	5	https://www.imdb.com/name/nm0220600/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0220600/awards?ref_=nm_ql_2
63	" Jason Friedberg
"	1970-1-16	Newark, New Jersey, USA	['Epic Movie', 'Meet the Spartans', 'Disaster Movie', 'Vampires Suck']	1	5	https://www.imdb.com/name/nm0294997/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0294997/awards?ref_=nm_ql_2
64	" Christian Molina
(I)
"	NA	NA	"['De mayor quiero ser soldado', ""Estació de l'oblit"", 'Rojo sangre', '11-11-11']"	1	3	https://www.imdb.com/name/nm0596668/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0596668/awards?ref_=nm_ql_2
65	" Michael Patrick King
"	1954-9-14	Scranton, Pennsylvania, USA	['Sex and the City 2', 'Sex and the City', 'Sex and the City', 'The Comeback']	7	22	https://www.imdb.com/name/nm0455078/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0455078/awards?ref_=nm_ql_2
66	" Wilson Yip
(I)
"	NA	NA	['Yip Man', 'SPL: Sha po lang', 'Ip Man 2', 'Yip Man 3']	7	13	https://www.imdb.com/name/nm0948159/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0948159/awards?ref_=nm_ql_2
67	" James Watkins
(V)
"	1978-0-0	NA	['Eden Lake', 'The Woman in Black', 'Bastille Day', 'McMafia']	2	4	https://www.imdb.com/name/nm1220140/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1220140/awards?ref_=nm_ql_2
68	" Saul Dibb
"	1968-0-0	NA	"['The Duchess', 'Bullet Boy', 'Suite Française', ""Journey's End""]"	3	9	https://www.imdb.com/name/nm1314116/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm1314116/awards?ref_=nm_ql_2
69	" Frank Miller
(II)
"	1957-1-27	Olney, Maryland, USA	['Sin City', 'Sin City: A Dame to Kill For', 'The Spirit', 'RoboCop 3']	2	4	https://www.imdb.com/name/nm0588340/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0588340/awards?ref_=nm_ql_2
70	" Paul W.S. Anderson
"	1965-3-4	Newcastle-upon-Tyne, England, UK	['Resident Evil: Apocalypse', 'Event Horizon', 'Mortal Kombat', 'Death Race']	2	2	https://www.imdb.com/name/nm0027271/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0027271/awards?ref_=nm_ql_2
71	" Adam Brooks
(I)
"	1956-9-3	Toronto, Ontario, Canada	['Definitely, Maybe', 'Whatever Works', 'Bridget Jones: The Edge of Reason', 'Almost You']	1	4	https://www.imdb.com/name/nm0111845/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0111845/awards?ref_=nm_ql_2
72	" Carter Smith
(VII)
"	1971-9-6	NA	['Bugcrush', 'The Ruins', 'Jamie Marks Is Dead', 'Yearbook']	3	4	https://www.imdb.com/name/nm2127650/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm2127650/awards?ref_=nm_ql_2
73	" Clint Eastwood
"	1930-5-31	San Francisco, California, USA	['Million Dollar Baby', 'Unforgiven', 'Gran Torino', 'The Bridges of Madison County']	149	159	https://www.imdb.com/name/nm0000142/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000142/awards?ref_=nm_ql_2
74	" Lexi Alexander
(I)
"	1974-8-23	Mannheim, Baden-Württemberg, Germany	['Green Street Hooligans', 'Punisher: War Zone', 'Johnny Flynton', 'Arrow']	4	1	https://www.imdb.com/name/nm0591994/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0591994/awards?ref_=nm_ql_2
75	" Eric Darnell
(I)
"	NA	NA	"['Madagascar', 'Madagascar: Escape 2 Africa', 'Antz', ""Madagascar 3: Europe's Most Wanted""]"	1	3	https://www.imdb.com/name/nm0201509/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0201509/awards?ref_=nm_ql_2
76	" Neil Marshall
(I)
"	1970-5-25	Newcastle upon Tyne, England, UK	['Dog Soldiers', 'The Descent', 'Doomsday', 'Centurion']	9	14	https://www.imdb.com/name/nm0551076/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0551076/awards?ref_=nm_ql_2
77	" David Wain
"	1969-8-1	Shaker Heights, Ohio, USA	['Wet Hot American Summer', 'Role Models', 'Wet Hot American Summer: First Day of Camp', 'The State']	7	7	https://www.imdb.com/name/nm0906476/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0906476/awards?ref_=nm_ql_2
78	" Hayao Miyazaki
"	1941-1-5	Tokyo, Japan	"['Spirited Away', 'My Neighbor Totoro', ""Howl's Moving Castle"", 'Princess Mononoke']"	77	45	https://www.imdb.com/name/nm0594503/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0594503/awards?ref_=nm_ql_2
79	" Gus Van Sant
"	1952-7-24	Louisville, Kentucky, USA	['Elephant', 'My Own Private Idaho', 'Drugstore Cowboy', 'Paranoid Park']	42	62	https://www.imdb.com/name/nm0001814/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0001814/awards?ref_=nm_ql_2
80	" Steve McQueen
(III)
"	1969-10-9	London, England, UK	['12 Years a Slave', 'Shame', 'Hunger', 'Widows']	84	94	https://www.imdb.com/name/nm2588606/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm2588606/awards?ref_=nm_ql_2
81	" Lana Wachowski
"	1965-6-21	Chicago, Illinois, USA	['The Matrix', 'Bound', 'Cloud Atlas', 'The Matrix Reloaded']	12	24	https://www.imdb.com/name/nm0905154/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0905154/awards?ref_=nm_ql_2
82	" Ryûhei Kitamura
"	1969-5-30	Osaka, Japan	['The Midnight Meat Train', 'Azumi', 'Versus', 'Aragami']	6	10	https://www.imdb.com/name/nm0457565/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0457565/awards?ref_=nm_ql_2
83	" Edward Zwick
"	1952-10-8	Chicago, Illinois, USA	['Thirtysomething', 'The Last Samurai', 'Shakespeare in Love', 'Courage Under Fire']	24	21	https://www.imdb.com/name/nm0001880/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0001880/awards?ref_=nm_ql_2
84	" John Erick Dowdle
"	1972-12-21	St. Paul, Minnesota, USA	['No Escape', 'As Above, So Below', 'Quarantine', 'Devil']	1	3	https://www.imdb.com/name/nm0235719/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0235719/awards?ref_=nm_ql_2
85	" Eric Brevig
"	1957-0-0	NA	['Total Recall', 'Men in Black', 'Pearl Harbor', 'Scrooged']	1	13	https://www.imdb.com/name/nm0108094/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0108094/awards?ref_=nm_ql_2
86	" Paul Weiland
"	1953-7-11	England, UK	['Leonard Part 6', 'Made of Honor', 'Keep Off the Grass', 'Blackadder Back & Forth']	0	4	https://www.imdb.com/name/nm0917992/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0917992/awards?ref_=nm_ql_2
87	" Baz Luhrmann
"	1962-9-17	New South Wales, Australia	['Moulin Rouge!', 'Australia', 'The Great Gatsby', 'Romeo + Juliet']	33	49	https://www.imdb.com/name/nm0525303/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0525303/awards?ref_=nm_ql_2
88	" Olivier Megaton
"	1965-8-6	Versailles, Seine-et-Oise [now Yvelines], France	['Transporter 3', 'Colombiana', 'Exit', 'Taken 2']	2	2	https://www.imdb.com/name/nm0576298/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0576298/awards?ref_=nm_ql_2
89	" Peter Sollett
"	1976-0-0	NA	"['Raising Victor Vargas', 'Freeheld', 'Five Feet High and Rising', ""Nick and Norah's Infinite Playlist""]"	9	10	https://www.imdb.com/name/nm0813164/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0813164/awards?ref_=nm_ql_2
90	" David Frankel
(I)
"	1959-4-2	New York City, New York, USA	['The Devil Wears Prada', 'One Chance', 'Band of Brothers', 'Doctor Doctor']	7	6	https://www.imdb.com/name/nm0291205/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0291205/awards?ref_=nm_ql_2
91	" Jon Avnet
"	1949-11-17	Brooklyn, New York City, New York, USA	['Fried Green Tomatoes', 'Red Corner', 'Sky Captain and the World of Tomorrow', 'Righteous Kill']	5	10	https://www.imdb.com/name/nm0000816/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0000816/awards?ref_=nm_ql_2
92	" D.J. Caruso
"	1965-1-17	Norwalk, Connecticut, USA	['I Am Number Four', 'Eagle Eye', 'xXx: Return of Xander Cage', 'The Salton Sea']	NA	NA	https://www.imdb.com/name/nm0142286/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0142286/awards?ref_=nm_ql_2
93	" Nick Moore
(II)
"	NA	NA	['Love Actually', 'About a Boy', 'Notting Hill', 'Burnt']	0	2	https://www.imdb.com/name/nm0601680/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0601680/awards?ref_=nm_ql_2
94	" Dennis Gansel
"	1973-10-4	Hannover, Lower Saxony, Germany	['The Wave', 'Before the Fall', 'Wir sind die Nacht', 'Mechanic: Resurrection']	12	8	https://www.imdb.com/name/nm0304541/?ref_=adv_li_dr_0	https://www.imdb.com/name/nm0304541/awards?ref_=nm_ql_2
